rank	username	minecraft:dropped/minecraft:shears
1	EcksD	17857
2	thewindmillman	16058
3	Spacewardharpy7	12670
4	EMC_	7535
5	noam464	5223
6	HellsSponge	5078
7	Hyp3rion_	2307
8	bl1ss0	2190
9	Jackattack53	1056
10	Werbe	743
11	craaaash	619
12	lpinfinity	532
13	Creativebuilder2	300
14	beeperbeeper5	256
15	Spaghettatron	214
16	Yamdalorian	172
17	Steelynan	171
18	eitanzaki	170
19	Manaateee	135
20	Historical_Sand	131
21	EdGalbraith	106
22	ApophisNova	85
22	MyNamaSheff	85
24	Kowcio_	79
25	PigDab	76
26	FreakGenius	72
27	Soplight	69
28	lordpipe	67
28	SpacesickPrism	67
30	knarian	55
31	kekhon	52
32	mihimihimihi	46
33	Di_infiri	44
34	Lez_	41
35	Enderxz3	37
36	Merv__	36
37	oscminus	31
38	diamondgolem35	29
39	fffMike	27
39	es0th	27
41	pintsizedrogue	25
42	MyMawgDonaldsGon	23
43	ConnorDanky_	22
44	Blackberry1310	21
44	luseis	21
46	cutelilreno	20
47	12Magner05	19
47	Xclax101	19
49	SoosAmongus	18
49	horrayhorray123	18
51	k_ce	17
51	Blaiku	17
53	RebelAndroid	16
53	Buuck_	16
55	mwrty	15
55	NameGenerat0r	15
55	Blu3beast	15
55	Groundler	15
55	Racengan	15
55	hermmm_	15
61	Caribouse	14
61	joethahobo	14
61	Comma__	14
61	xxPipperDipperxx	14
61	Chromary	14
61	SammiWolfGirl	14
67	MattieHD	13
67	Bumpy419	13
67	Pumpkin_P_Patch	13
67	xzvu	13
71	TheSecondLord	12
71	Fullut	12
73	Frozil20	11
73	burbankbuilder28	11
73	Rebytre	11
76	I_Am_Mushkin	10
76	ImpavidArcher	10
76	Mahoose	10
76	robonya_	10
76	KingMatthew506	10
76	Jimb0nat0r	10
82	ECstardust	9
82	The11thDoctor	9
82	AlexxO_o	9
82	emreknugrlu	9
82	Tyrannosplart	9
82	PlasticOtari	9
88	CLG_Kata	8
88	lorywithay	8
88	rarrq	8
88	Akoot_	8
88	_Karmaa	8
88	TheTommyGun63	8
88	FiguraDei	8
88	CalebDHawk	8
96	T045RTY	7
96	_witch_craft_	7
96	Kakolbus	7
96	Mattesco	7
96	goldyx	7
96	weabis	7
96	doublemaki	7
96	djancak	7
96	Legendosh	7
105	_Virify_	6
105	Archsam	6
105	royal_2	6
105	_Nuf	6
105	Kubelz	6
105	Onennon	6
105	Lord_Jord	6
105	Soap_Bender	6
105	The_slideV3	6
105	E775	6
105	Eraxa	6
105	TheKingK_	6
105	Segotep999	6
105	PortlyPete69	6
105	K_a__a_n	6
105	Njensen7	6
105	Powowowow	6
105	TechnoNinja64	6
123	Mr_Byzantine	5
123	shineh10	5
123	Wooptey	5
123	ShedJr_	5
123	Gregward_Smith	5
123	titanlax	5
123	_Dean_123	5
123	Inchef	5
123	seramalen	5
123	cedric72	5
123	EveryonesUncle	5
123	Fuad_R	5
123	Cocoamallows	5
123	kyouma777	5
123	pixelviolin	5
123	Kyrum2169	5
123	Kubeusz2010	5
123	jnp_gaming	5
123	Sral7	5
123	TwinTowerV2	5
143	Groovy_MoonBird	4
143	squigglybones	4
143	Tommhh	4
143	SaucyDark	4
143	_Razaria	4
143	HUNTERmaun	4
143	Crowman1	4
143	bloodbiter	4
143	Secret_Canary	4
143	500am	4
143	r123moore	4
143	mimbo1211	4
143	Reneedium	4
143	IamCL4SSY	4
143	Warlord324	4
143	MakeHistory157	4
143	SvenskaHugo	4
143	ediballbearings	4
143	SSytex_X	4
143	LeEricc	4
143	Ezekson	4
143	Quotary	4
143	2blox_	4
143	vandmanden	4
167	H0UNDFRMH3LL	3
167	Tool_Ren	3
167	dabloons	3
167	Alteriity	3
167	Huwulling	3
167	Literally_Rat	3
167	heckface	3
167	Tersea_	3
167	m_be9	3
167	thescout7	3
167	ROY4LE	3
167	2Stout	3
167	yheece	3
167	Rumpletaezer	3
167	Arceus1975	3
167	Hiryu27	3
167	Jekyll	3
167	RobotMinion101	3
167	Kouridragon	3
167	GooseWithin	3
167	fw3xy	3
167	NomadicRobin_	3
167	masskedman	3
167	handsome_strong	3
167	Quaintster	3
167	Swiffin	3
167	QuesoCrusaderIII	3
167	dragonstalker21	3
167	IlkeCookes_	3
167	IdeallyGrey	3
167	__tomato	3
167	Luigipunch989	3
167	PlzNoBM	3
167	TheBananaKat	3
167	TheOnlyRake	3
167	Iamthejo	3
167	CattSoup	3
167	DairyNickel756	3
167	Nicserso	3
167	JasmineGK	3
207	seanitoo	2
207	JohnnyFyes	2
207	_Huge_Male_	2
207	RoskobiOne	2
207	robertsnose	2
207	q_wq	2
207	Ilinca_Io	2
207	powercas_gamer	2
207	bigstankyy	2
207	hm947	2
207	Tolhart	2
207	CoffeeNoir	2
207	MSK__	2
207	Rani_R	2
207	w3nd3lbo3	2
207	chlorinex	2
207	LoboTheLobster	2
207	NieToksikpl	2
207	Saucepeh	2
207	Tiberonus	2
207	Studio4x32	2
207	eclipseboi	2
207	SteveCraftBlocks	2
207	philandr	2
207	crying_wolf_13	2
207	KGTV	2
207	Tjhodskins19	2
207	Juansinmiedo18	2
207	gcaisawesome	2
207	Touched_Bread	2
207	arcanemagic	2
207	BlueZabu	2
207	Orcus113	2
207	Winklepicker279	2
207	ee_echo_oo	2
207	milltesco	2
207	whoaluv	2
207	WET_WET_WET	2
207	impossibleteapot	2
207	U_Mos_	2
207	Krowuss	2
207	Skylord_Luke	2
207	Inconvenionce	2
207	F_Uhre	2
207	BRRRN179	2
207	TheShyPig	2
207	LilLizardWizard	2
207	Luminad3	2
207	Rasmanden	2
207	groofles	2
207	Leyna3	2
207	Maenara	2
207	parodypatient	2
207	audiocracked	2
207	fkGrim	2
207	AspenLightVT	2
207	wobn	2
207	ChocolatePepsi	2
207	Dakar_	2
207	DarlaMeow	2
207	El_Jalapeno	2
207	Gus2005	2
207	GravitySaint	2
207	silverpopcorn	2
207	MovingFish7	2
207	Druid95	2
207	iSammael	2
207	IAmTheWalrus910	2
207	LetsDoItLive	2
207	Kura2218	2
207	Optiprimus	2
207	stavgod	2
207	TheEnderMan548	2
207	2a1169f5-2eaf-4ab7-adff-73315e7d9ddf	2
207	miramyu	2
207	_i_ERROR_i_	2
207	Dogcorn69420	2
207	ZoomieZoomie	2
207	SirBreadward	2
207	taengoos	2
207	KamFurnace	2
207	TheSandwhich_	2
207	UrbanPlanningEx	2
207	00000000-0000-0000-0009-01ff0c3e5e4f	2
207	00000000-0000-0000-0009-01fe065167f0	2
292	Batoser	1
292	Froste131	1
292	Crowvens	1
292	peachfuzz1267	1
292	PhantomsGhost_	1
292	abramgray	1
292	Cowison	1
292	Vlorox	1
292	BadenOnGod	1
