rank	username	minecraft:dropped/minecraft:stone_shovel
1	noam464	893
2	ClemenPine	42
3	eitanzaki	39
4	El_Jalapeno	36
5	Smaldo	33
6	PigDab	28
7	The_Dark_One_00	27
8	MonitorLizards	26
9	_Virify_	25
10	stahouo	20
11	chlorinex	19
12	Dan_Scha	15
13	Blackberry1310	12
13	gcaisawesome	12
15	Racengan	11
16	joethahobo	10
16	PlzNoBM	10
18	kekhon	8
18	Soul_Atreus	8
20	Nicserso	7
21	benediktine1	6
21	Hyp3rion_	6
21	_Karmaa	6
21	ThatMan_Dave	6
21	LordSpeed37	6
26	rarrq	5
26	himak1	5
26	BlueZabu	5
26	Suraidu	5
26	FGamerJ	5
31	beeperbeeper5	4
31	emrekn	4
31	Winklepicker279	4
31	PartyPhoenix	4
31	Freak_Genius	4
31	Universz	4
31	babyjimmyneutron	4
31	Kferno	4
39	BigBootyHudge	3
39	Comma__	3
39	SteveCraftBlocks	3
39	Cidah	3
39	Bumpy419	3
39	aa2x_	3
39	chipklip	3
39	DarlaMeow	3
39	Groundler	3
39	obzii	3
39	CalebDHawk	3
39	Skippeh	3
39	EcksD	3
39	jnp_gaming	3
53	Ozixar	2
53	Gooberkid223	2
53	TheSecondLord	2
53	Chickenchaser2	2
53	MrExplorer	2
53	Kamflame10	2
53	Gingayy	2
53	thescout7	2
53	Mariopreeet	2
53	__TheNorseMan__	2
53	VanJosh	2
53	fallingemma	2
53	AJplaysMC_	2
53	MinerDec	2
53	wrinkledpiglet	2
53	BRRRN179	2
53	victorLIE	2
53	brycepants	2
53	CarryLine	2
53	NormanFetus	2
53	HolyVenom	2
53	Akoot_	2
53	natajimi	2
53	DTwenty	2
53	kiluaemc	2
53	OreoPenguin_	2
53	fluddd	2
53	layabout100	2
53	legoclone09	2
53	Juh1s	2
53	lcvezra	2
53	Chuglyfe	2
53	Western_1	2
53	Drawgirll	2
53	Devouching	2
53	OnlyOfficial	2
53	SirDodgyBob	2
53	CrazyPotater	2
91	SDW_Insanity	1
91	Groovy_MoonBird	1
91	Ganongeek	1
91	diminub	1
91	squigglybones	1
91	soundad	1
91	Mocha_Mug	1
91	numbra	1
91	6king6colt6	1
91	pokemonfreak45	1
91	Houstonion	1
91	Kegradigm	1
91	Iagoku	1
91	freeandrew	1
91	ssleepless	1
91	knoodrake	1
91	Hashinshin69	1
91	Flores991	1
91	Natofthese	1
91	Vincent________	1
91	lotarp	1
91	Mahoose	1
91	elleparo	1
91	ShedJr_	1
91	EvenMina	1
91	Swexti	1
91	Swalt	1
91	Rorrofighter	1
91	TinMaster	1
91	dopplexd	1
91	InfernalMound	1
91	firesgal3116	1
91	m_be9	1
91	Ravenbie	1
91	Ardennes	1
91	joppen12	1
91	AdvertisingMerc	1
91	GingerNeutron	1
91	_Dean_123	1
91	500am	1
91	potato292	1
91	Andy__Dufresne	1
91	Nab3rius	1
91	Cambo5000	1
91	mwrty	1
91	Awyrlas	1
91	Mewar	1
91	2Stout	1
91	ItzYaBoiPicard	1
91	Noah_Bez	1
91	UncleDanDan	1
91	ehunt54	1
91	SHAOBADMAN	1
91	M_Patata	1
91	RustyKedel	1
91	Karetoko	1
91	ImDisconnected_	1
91	faulder	1
91	Marbz_	1
91	Avermu	1
91	CarltheCuck	1
91	gabriels543	1
91	SuperPooch06	1
91	mick407	1
91	mexicancharlie	1
91	Zythose	1
91	byFlixxx	1
91	DaKaveMan	1
91	CranialBlowout	1
91	ThePurpleFire	1
91	RyuNeko932000	1
91	Parcc	1
91	Yaspresents	1
91	The_Fulgurator	1
91	regulator75	1
91	Rebytre	1
91	Skylord_Luke	1
91	Judah_Ra	1
91	N7November	1
91	ooga47	1
91	sitrollover	1
91	_Cloverbelle_	1
91	_bruhhhhh	1
91	Invisie	1
91	cedric72	1
91	LilLizardWizard	1
91	Drewen24	1
91	HoldThatPee	1
91	Leyna3	1
91	RodSerlingCringe	1
91	tyraxxx	1
91	Negriuke	1
91	Choco_Spy	1
91	wezzzi	1
91	AlphaWolfPlaysMC	1
91	Gab4101	1
91	FreddyFart	1
91	Katsuragi0243218	1
91	SpouHn	1
91	madderfall	1
91	Captain_Nasty	1
91	Toiton	1
91	Karbl	1
91	elijahmaroney	1
91	HellsSponge	1
91	Dooinfe	1
91	Frnjokl	1
91	NameGenerat0r	1
91	Shogunite	1
91	sheebeep	1
91	Xclax101	1
91	RedcatVII	1
91	LordAurum	1
91	yoyoYoloMonke	1
91	Warlord324	1
91	xyfrs	1
91	Smiguli_	1
91	GuitarXpress	1
91	OG_Songsee	1
91	sp00ky_ghost977	1
91	NebulousBadger	1
91	lilguppy	1
91	stavgod	1
91	PabloGonza02	1
91	TheEnderman548	1
91	plato2066	1
91	MineMaster0012	1
91	starbits140	1
91	ProbsNotNova	1
91	Deguns123	1
91	felincaus	1
91	Dogcorn69420	1
91	Sheldor097	1
91	Soffbord	1
91	SirBreadward	1
91	OfficerAnvil	1
91	Miko_Fullbuster	1
91	RadarHz	1
91	BreadBacon	1
91	_AAZAR	1
91	RoboTramp7865	1
91	Powowowow	1
91	2blox	1
91	TechnoNinja64	1
91	kinas45y5	1
91	JayToe	1
91	MelodyGaysharks	1
91	IronicUwU1	1
91	Freedrik	1
