rank	username	minecraft:dropped/minecraft:polished_blackstone_wall
1	Hyp3rion_	667
2	Jackattack53	94
3	k_ce	91
4	noam464	82
5	eitanzaki	75
6	bl1ss0	64
6	milltesco	64
6	Mattesco	64
9	TheSecondLord	45
10	Lez_	34
11	EcksD	24
12	beeperbeeper5	15
13	gamerlord1324	5
13	burbankbuilder28	5
13	LovableFemboy	5
16	TheWickedBird	4
17	Fullut	3
17	AltnumberF4	3
19	_Dean_123	2
19	Lord_Jord	2
19	luseis	2
19	Buuck_	2
19	PlasticOtari	2
24	skroobiez	1
24	Arceus1975	1
24	Rebytre	1
24	Spacewardharpy7	1
24	CalebDHawk	1
