rank	username	minecraft:dropped/minecraft:experience_bottle
1	noam464	5707
2	EcksD	1940
3	Shogunite	1920
4	eitanzaki	601
5	Blaiku	192
6	Frozil12	80
7	Snowflowe	64
8	TheEnderman548	33
9	KomputerDude	30
10	oxfordschool	12
11	starbits140	8
12	Quaintster	6
13	Ecplosive	5
14	Kynigito	3
15	EMC_	2
15	diamondgolem35	2
15	kekhon	2
15	mwrty	2
19	SaucyDark	1
19	youhjjhhhjj	1
19	TheSecondLord	1
19	MattieHD	1
19	Akoot_	1
19	Deodorante	1
19	Freak_Genius	1
19	Blu3beast	1
19	Nycteus_	1
19	sebastiensaborio	1
19	KingMatthew506	1
19	mountaingirl311	1
19	TechnoNinja64	1
