rank	username	minecraft:dropped/minecraft:orange_dye
1	thewindmillman	824255
2	noam464	28296
3	Segotep999	297
4	NameGenerat0r	248
5	lillips	181
6	TechnoNinja64	147
7	Steelynan	128
8	FishisTTV	124
9	lordpipe	118
10	Blaiku	111
11	beeperbeeper5	83
12	HellsSponge	64
12	iHuntWeeaboos	64
14	MattieHD	60
15	Smoke____	43
16	Rasmanden	31
17	eitanzaki	16
18	babyjimmyneutron	14
19	LeeMcGee30	12
20	Frozil20	11
21	Zippyzam	10
21	_Dean_123	10
23	AltnumberF4	8
24	Akoot_	7
24	SkateboardR6	7
26	Fullut	6
27	Kowcio_	4
27	Soplight	4
27	Dogcorn69420	4
30	SellyZ	3
30	SuperPooch06	3
30	Luminad3	3
30	Jiminie	3
30	Freak_Genius	3
30	PortlyPete69	3
30	oxfordschool	3
37	SugarMyNuggets	2
37	SaucyDark	2
37	hm947	2
37	oreee	2
37	Ecplosive	2
37	Mattesco	2
37	binman420	2
37	chipklip	2
37	MangoSalad316	2
37	Eraxa	2
37	sadvavilloso	2
37	Kyrum2169	2
37	stahouo	2
37	RadarHz	2
37	Nicserso	2
37	FelixPSY375	2
37	HesDemonPants	2
37	jnp_gaming	2
55	Groovy_MoonBird	1
55	AuroraValkyrie	1
55	I_Am_Mushkin	1
55	KarlKaek	1
55	Iagoku	1
55	Hpdinosaur	1
55	Wooptey	1
55	Myszoaz	1
55	Comma__	1
55	12Magner05	1
55	kekhon	1
55	500am	1
55	emrekn	1
55	Hyp3rion_	1
55	Onennon	1
55	Truckoss	1
55	EveryonesUncle	1
55	_Bguette_	1
55	Meatlaugh	1
55	DarlaMeow	1
55	lolpoottoot	1
55	Cocoamallows	1
55	Nagasaki_Riku	1
55	yatsuta	1
55	SSytex_X	1
55	SammiWolfGirl	1
55	Hermanni__	1
55	ZoomieZoomie	1
55	PlasticOtari	1
