rank	username	minecraft:dropped/minecraft:light_gray_carpet
1	EcksD	10955
2	thewindmillman	2880
3	noam464	1737
4	ConnorDanky_	379
5	beeperbeeper5	241
6	Spacewardharpy7	178
7	eitanzaki	123
8	YungMaki	103
9	mwrty	100
10	KingMatthew506	96
11	Di_infiri	94
12	mihimihimihi	86
13	FreakGenius	84
14	Groovy_MoonBird	70
15	luseis	67
16	kekhon	52
17	MinuteMira	46
18	Quaintster	43
19	heckface	38
20	Akoot_	35
21	SkateboardR6	32
22	Jeteight	24
23	EveryonesUncle	21
24	lordpipe	20
25	Historical_Sand	16
26	xzvu	14
27	Blu3beast	13
28	Mattesco	12
28	HellsSponge	12
28	lcvezra	12
28	Legendosh	12
32	Mahoose	11
33	M_Patata	10
33	MasterNueve	10
35	pintsizedrogue	9
35	Bandito_Roamer	9
35	ItsColin11	9
35	Onennon	9
39	RebelAndroid	8
39	Rebytre	8
39	Kowcio_	8
42	TheSecondLord	7
42	Lord_Jord	7
44	Blackberry1310	6
44	_Dean_123	6
44	Rumpletaezer	6
44	NameGenerat0r	6
44	MovingFish7	6
44	Smoke____	6
50	Sral7	5
51	Cowison	4
51	Alteriity	4
51	FishyBoy3811	4
51	Maenara	4
51	Tyrannosplart	4
56	diamondgolem35	3
56	Huwulling	3
56	Da_Boss_Rani	3
56	MattieHD	3
56	nitram49b	3
56	AnnieBathory	3
56	fluddd	3
56	Warlord324	3
56	Kyrum2169	3
56	FelixPSY375	3
56	vandmanden	3
56	diggydog67	3
68	Blaiku	2
68	RealGroot	2
68	Njensen7	2
68	alderban107	2
68	Quotary	2
73	k_ce	1
73	fanofbands101	1
73	squigglybones	1
73	ImpavidArcher	1
73	T045RTY	1
73	ITDV	1
73	joethahobo	1
73	bloodbiter	1
73	Secret_Canary	1
73	SteveCraftBlocks	1
73	TheWildMateo	1
73	Meatlaugh	1
73	Nycteus_	1
73	Xclax101	1
73	BartekB19	1
73	EtherealEspresso	1
