rank	username	minecraft:dropped/minecraft:wheat_seeds
1	lordpipe	94107
2	HellsSponge	45736
3	Lez_	32028
4	SpacesickPrism	23625
5	Blackberry1310	22770
6	thewindmillman	19267
7	StinkyDiplomat	19187
8	Di_infiri	17005
9	Hyp3rion_	15819
10	MightyWertu	12533
11	eitanzaki	11066
12	Blaiku	10614
13	TechnoNinja64	9326
14	beeperbeeper5	8610
15	joethahobo	8545
16	noam464	7826
17	RoskobiOne	7071
18	EMC_	6590
19	Groovy_MoonBird	6342
20	Houstonion	6310
21	FreakGenius	5927
22	Comma__	5647
23	Groundler	5547
24	anbbang	5392
25	LeeMcGee30	5307
26	IamCL4SSY	4992
27	AdmiralSmoke	4987
28	PazinGaming	4895
29	Racengan	4444
30	El_Jalapeno	4347
31	Legendosh	4269
32	audiocracked	3872
33	4774	3669
34	luseis	3612
35	lillips	3595
36	Xclax101	3491
37	Mahoose	3438
38	Bandito_Roamer	3374
39	hcb238	3351
40	Kowcio_	3342
41	zToasty69z	3219
42	EveryonesUncle	3199
43	bloodbiter	3085
44	kekhon	3018
45	Skylord_Luke	2976
46	Dakar_	2889
47	Jackattack53	2820
48	NatalieTW	2793
49	EcksD	2761
50	hanaryheatwave	2738
51	Werbe	2730
52	Merv__	2713
53	H72l9w	2657
54	Njensen7	2623
55	Luigipunch989	2620
56	Enderxz3	2545
57	Jovaphobic	2494
58	xolstoi	2447
59	Ryan_GEMS	2434
60	j5ylim	2430
61	Joestra	2391
62	MousePlays	2311
63	YungMaki	2261
64	Cowison	2254
65	non089	2236
66	livingdaydreams	2213
67	jacxhadow	2207
68	500am	2142
69	Karbl	2131
70	mihimihimihi	2129
71	k_ce	2126
72	Segotep999	2120
73	oscminus	2066
74	_TCARREIRA_	2039
75	Kakolbus	2034
76	TheSecondLord	2028
77	Alteriity	1963
78	Blu3beast	1911
79	thescout7	1890
80	Voxin2K	1834
81	Spacewardharpy7	1750
82	Sral7	1655
83	Kyrum2169	1634
84	Xalithia	1610
85	youhjjhhhjj	1604
86	Soplight	1590
87	Razzgriz	1572
88	UncreativeArtist	1568
89	Onennon	1547
90	himak1	1545
91	Quaintster	1540
92	Jordan_R	1536
93	Nicserso	1535
94	Moofyman	1517
95	Snowflowe	1492
96	wobn	1468
97	xzvu	1462
98	JayToe	1453
99	Akoot_	1440
100	PlzNoBM	1427
101	Frozil20	1426
102	LordSpeed37	1423
103	PortlyPete69	1397
104	07shiny	1392
105	PlasticOtari	1383
106	Bumpy419	1377
107	12Magner05	1373
108	Fullut	1368
109	Jimb0nat0r	1358
110	groofles	1327
111	Vizzoid	1322
112	Prodiginus	1256
113	monky_irl	1249
114	Killercatty78	1219
114	silverpopcorn	1219
116	123louis456	1199
117	ediballbearings	1192
118	burbankbuilder28	1175
119	MoistMicrowave	1173
120	mariominejedi	1159
121	SuperPooch06	1150
122	Lord_Zacler	1137
123	_Nuf	1128
124	Wolverine4302	1125
125	6king6colt6	1104
126	Rebytre	1101
127	Ezekson	1081
128	Marbz_	1052
129	xxPipperDipperxx	1033
130	NomadicRobin_	1021
131	brofrickcheaters	997
132	Warlord324	994
133	titanlax	972
134	Smashic	962
135	Rumpletaezer	949
136	valiSW	944
137	Huwulling	937
138	Iamthejo	894
139	Airem_Core	890
140	Manaateee	888
141	ADEXTV	869
142	NieToksikpl	859
142	HesDemonPants	859
144	PeteO1995	856
144	__tomato	856
146	Jimi7hits	847
147	pintsizedrogue	840
148	Avocadogerms	832
149	Arceus1975	820
150	Zoeyfortnite	796
151	excelsionprime	785
152	Krowuss	773
153	ImpavidArcher	763
154	_Minnty_	761
155	fallingemma	753
156	Kuragari_	751
157	SSytex_X	739
158	RebelAndroid	734
159	calamariclam_I	709
160	DennyKai	707
161	rarrq	700
161	THEKINGLyric10	700
163	Tyrannosplart	697
164	jewbacaman	671
165	Fuad_R	656
166	Quotary	654
167	RadarHz	652
168	shineh10	642
169	Russiancat1	641
170	Lord_Jord	640
171	Juh1s	638
172	ougstur	629
172	SkateboardR6	629
174	featherflyy	628
175	AuroraValkyrie	616
175	eiC_	616
177	AngalexikCZ	609
177	ImDisconnected_	609
179	_Karmaa	606
180	MAns_44	603
181	lcvezra	601
182	Weepingbiel	593
183	djancak	587
184	yaboo88	586
185	legal_tax_evader	580
186	Powowowow	564
187	SquadMonster	560
188	Vellu21	558
189	crying_wolf_13	551
190	Steelynan	548
191	AlphaWolfPlaysMC	545
192	starbits140	541
193	BlancoFlaco	538
194	PigDab	535
195	KingEgg1	533
196	ori0le	527
197	ProfessorBee	526
198	Soap_Bender	516
199	sufjanlover	500
200	Winklepicker279	499
201	Mr_Byzantine	494
202	aec9	493
203	Kura2218	489
204	SaucyDark	479
205	ConnorDanky_	474
206	fluddd	459
207	Ssor69	457
208	censorsheep	449
209	Malorn_Aetherius	446
210	Kegradigm	444
211	HyperCave	436
212	soundad	431
213	HeraclesOGU	425
214	Zythose	420
215	SammiWolfGirl	418
216	Nicky19	411
217	Kamflame10	408
218	UCP_TheKingK	400
219	QuiCreans	399
220	Natty	393
221	Mattesco	392
222	ExtraDumb	391
222	mwrty	391
222	SvenskaHugo	391
225	DarlaMeow	390
226	TruestTurnip	387
227	Stright_	384
227	CrumplyBanjo_	384
229	LeonelSalamanca	383
230	Druid95	375
231	AJplaysMC_	373
232	XxCookiequeenxX	372
233	weabis	371
233	alderban107	371
235	jnp_gaming	368
236	ShedJr_	365
237	Eraxa	361
238	MovingFish7	360
239	theonlymagikarp	357
240	gcaisawesome	353
241	AlexxO_o	348
242	dabloons	340
243	RedcatVII	335
244	Ze1ig	329
244	boog4loo	329
246	SirMeowsMucho	327
247	Prismyst	326
248	Historical_Sand	325
249	_Huge_Male_	324
250	picardred	323
251	Apollo_993	322
252	Sheldor097	321
253	T045RTY	319
254	TheOnlyRake	313
255	Haadrada	307
255	skrongus	307
257	ActualPatbaf	302
258	carloselpapii	300
259	TheDankPlatypus	298
260	corvidpartyfor6	297
260	KartivGal	297
262	Matek_	295
263	NameGenerat0r	294
263	33sudo	294
265	TheShyPig	293
