rank	username	minecraft:dropped/minecraft:polished_blackstone_brick_wall
1	eitanzaki	588
2	noam464	338
3	Mr_Byzantine	192
4	beeperbeeper5	87
5	Eraxa	80
6	EcksD	63
7	_Huge_Male_	61
7	lordpipe	61
9	TheSecondLord	45
10	_Mythic____	30
11	PazinGaming	19
11	FishyBoy3811	19
13	EveryonesUncle	17
14	luseis	15
15	PigDab	14
16	benediktine1	11
17	Blaiku	6
18	kekhon	4
19	jacxhadow	3
19	CattSoup	3
21	Jakobo1337	2
21	Druid95	2
21	PlasticOtari	2
21	trexgb	2
25	Mahoose	1
25	Crowman1	1
25	r123moore	1
25	Di_infiri	1
25	thewindmillman	1
25	Mattesco	1
