rank	username	minecraft:dropped/minecraft:emerald_block
1	thewindmillman	5980471
2	Hyp3rion_	2723112
3	noam464	146725
4	hanaryheatwave	64978
5	Spacewardharpy7	35056
6	Fuad_R	8243
7	Smashic	3888
8	Jackattack53	3089
9	Kowcio_	2205
10	EcksD	1483
11	beeperbeeper5	1322
12	_i_ERROR_i_	1067
13	HolyVenom	1024
14	Blaiku	946
15	TechnoNinja64	939
16	Lez_	805
17	SteveCraftBlocks	704
18	eitanzaki	648
19	kekhon	598
20	Werbe	544
21	_Mythic____	525
22	diamondgolem35	446
23	luseis	445
24	500am	442
25	podduszenie	438
26	Alteriity	392
27	Huwulling	385
28	Soplight	366
29	H0UNDFRMH3LL	339
30	CLG_Kata	326
31	lordpipe	320
32	Secret_Canary	316
33	Mahoose	294
34	AlexxO_o	275
35	NATE_the_HALO	235
36	pintsizedrogue	200
37	Incinere	197
38	Inchef	192
38	Chromary	192
40	SpacesickPrism	190
41	SmashingPump	184
42	Sral7	163
43	TruestTurnip	160
44	ImpavidArcher	156
45	myaccountwasgone	148
46	xzvu	137
47	Fullut	129
48	lorywithay	128
48	Crowman1	128
48	thescout7	128
51	FreakGenius	114
52	Akoot_	106
53	joethahobo	100
54	SquadMonster	99
54	PlasticOtari	99
56	Lord_Jord	98
57	MightyWertu	96
58	Yamdalorian	95
59	Jjackoe	91
60	Segotep999	88
61	PigDab	85
62	I_Am_Mushkin	76
63	Tyrannosplart	75
64	calamariclam_I	74
65	Krowuss	72
66	ROY4LE	70
67	Buuck_	67
68	set67	66
69	Krasnal1337	64
69	YairZaki	64
69	FirsTimeGamingTV	64
69	bloodbiter	64
69	Boboczus	64
69	Kkanot	64
69	NotMeanttoChange	64
69	GooseWithin	64
69	skitzxo	64
78	Wowful	61
79	TheDumbHuman	60
80	EveryonesUncle	50
81	Hiryu27	46
82	crashomon	43
82	CalebDHawk	43
84	NomadicRobin_	37
84	Deodorante	37
86	Groovy_MoonBird	33
86	TheSecondLord	33
88	Yahir091	32
89	Olib3ar	31
89	pretty_pink_reno	31
91	fw3xy74	30
92	lorpus	28
93	NieToksikpl	27
93	cichy096	27
95	Hydro___________	26
95	TJawesome09	26
97	Batman922	25
97	bugrq_	25
97	mihimihimihi	25
100	Mr_Byzantine	24
101	Ezekson	23
102	Steelynan	21
103	h2p_emrld	20
104	Historical_Sand	17
105	Blackberry1310	16
105	Jakobo1337	16
105	GreedyFern8581	16
105	MakeHistory157	16
109	Auseawesome	15
109	Soap_Bender	15
111	ECstardust	14
111	xxPipperDipperxx	14
111	Snowflowe	14
114	561cool	13
115	U_Mos_	12
116	Merv__	10
116	RebelAndroid	10
116	crying_wolf_13	10
116	SvenskaHugo	10
116	Dogcorn69420	10
116	Quotary	10
116	jnp_gaming	10
123	abdomera	9
123	XboxPanda	9
123	oscminus	9
123	the_russell1611	9
123	claivin	9
123	501g	9
123	3_Solar_3	9
123	fffMike	9
123	Enderxz3	9
132	DarlaMeow	8
132	K_a__a_n	8
134	Racengan	7
135	Frozil20	4
135	rarrq	4
135	Awyrlas	4
135	mariominejedi	4
135	Elastiq	4
135	Eraxa	4
135	YungMaki	4
135	Winston_Ingram	4
135	ConnorDanky_	4
135	FishisTTV	4
145	PhantomsGhost_	3
145	emreknugrlu	3
145	Blu3beast	3
145	00000000-0000-0000-0009-01ff0c3e5e4f	3
149	_Huge_Male_	2
149	Reamdin	2
149	fkGrim	2
149	Manaateee	2
149	IdeallyGrey	2
149	TheOuterCore	2
155	T045RTY	1
155	Da_Boss_Rani	1
155	Tersea_	1
155	Scathra	1
155	Mattesco	1
155	EdGalbraith	1
155	avalan64	1
155	AspenLightVT	1
155	StinkyDiplomat	1
155	sp00ky_ghost977	1
155	Blasterboy54	1
155	TheBananaKat	1
