rank	username	minecraft:dropped/minecraft:waxed_copper_block
1	thewindmillman	704
2	Mattesco	645
3	Secret_Canary	136
4	Spaghettatron	104
5	TheSecondLord	77
6	Caribouse	61
7	milltesco	53
8	MyMawgDonaldsGon	38
9	Manaateee	32
10	Merv__	16
11	TheWickedBird	12
12	CLG_Kata	10
12	net_flex	10
14	00000000-0000-0000-0009-01fe065167f0	9
15	oscminus	7
16	Soplight	4
17	k_ce	3
17	beeperbeeper5	3
17	MattieHD	3
17	pixelviolin	3
17	KamFurnace	3
22	Steelynan	2
23	PazinGaming	1
23	Lez_	1
23	12Magner05	1
23	NameGenerat0r	1
23	MAns_44	1
23	Pumpkin_P_Patch	1
23	Yamdalorian	1
