rank	username	minecraft:dropped/minecraft:gray_terracotta
1	thewindmillman	81840
2	EcksD	3164
3	Kowcio_	668
4	Huwulling	256
5	Werbe	195
6	Hyp3rion_	169
7	YungMaki	151
8	eitanzaki	124
9	titanlax	78
10	Manaateee	64
10	Shogunite	64
10	skitzxo	64
13	beeperbeeper5	60
14	Mattesco	53
15	kekhon	42
16	Secret_Canary	36
17	Inbefour	30
18	NameGenerat0r	26
19	Krowuss	22
20	2Stout	10
21	ConnorDanky_	8
22	Archsam	7
22	noam464	7
24	Rumpletaezer	3
24	Yamdalorian	3
26	pretty_pink_reno	2
27	joethahobo	1
27	Jackattack53	1
27	Chromary	1
