rank	username	minecraft:dropped/minecraft:emerald_ore
1	NATE_the_HALO	112
2	thewindmillman	95
3	Hyp3rion_	40
4	doublemaki	38
5	Kowcio_	27
6	ECstardust	16
7	Segotep999	10
8	Rebytre	8
8	Blaiku	8
10	es0th	7
11	Werbe	6
11	Jimb0nat0r	6
13	EcksD	5
14	EMC_	4
14	ColeSnyder	4
14	Hanselhoof	4
14	pappaberg	4
14	masskedman	4
14	Tyrannosplart	4
14	cutelilreno	4
21	oscminus	3
21	Manaateee	3
21	claivin	3
21	_flud	3
25	robertsnose	2
25	Frozil20	2
25	Julmish	2
25	Fullut	2
25	_witch_craft_	2
25	benediktine1	2
25	craaaash	2
25	PigDab	2
25	Soap_Bender	2
25	Skippeh	2
25	Nicserso	2
36	k_ce	1
36	Bandito_Roamer	1
36	Huwulling	1
36	Blackberry1310	1
36	TheThomas69	1
36	knarian	1
36	theonlymagikarp	1
36	Chromary	1
36	hanaryheatwave	1
36	RobotMinion101	1
36	Mattesco	1
36	Lord_Jord	1
36	NameGenerat0r	1
36	Barlycorn	1
36	Spacewardharpy7	1
36	pixelviolin	1
36	bloomkieren	1
36	TheKingK_	1
36	ediballbearings	1
36	Yamdalorian	1
