rank	username	minecraft:dropped/minecraft:crimson_slab
1	noam464	17007
2	YungMaki	1427
3	thewindmillman	579
4	Blaiku	120
5	eitanzaki	62
6	AdmiralSmoke	57
7	PigDab	53
8	Kowcio_	50
9	FreakGenius	48
10	12Magner05	46
11	Dakar_	32
12	Mahoose	24
13	lorpus	18
13	Werbe	18
15	beeperbeeper5	17
16	lordpipe	10
17	TheWildMateo	8
18	EveryonesUncle	7
19	kekhon	5
20	Hyp3rion_	4
21	Awyrlas	3
21	gcaisawesome	3
23	Jackattack53	2
23	weabis	2
23	SvenskaHugo	2
26	djancak	1
