rank	username	minecraft:dropped/minecraft:mushroom_stem
1	thewindmillman	92341
2	Hyp3rion_	652
3	Kowcio_	638
4	emreknugrlu	578
5	Huwulling	483
6	joethahobo	448
7	pintsizedrogue	388
8	noam464	339
9	Werbe	333
10	Jimb0nat0r	284
11	eitanzaki	223
12	Blaiku	193
13	burbankbuilder28	142
14	YungMaki	99
15	Frozil20	64
15	EcksD	64
17	diggydog67	42
18	KingMatthew506	29
19	groofles	27
20	Dakar_	26
21	PigDab	24
22	Jackattack53	20
23	Di_infiri	19
23	Spacewardharpy7	19
25	beeperbeeper5	17
26	Tyrannosplart	15
26	Enderxz3	15
28	Nicserso	14
29	MightyWertu	11
30	ConnorDanky_	10
31	MuffinManzz	8
31	kekhon	8
31	Secret_Canary	8
31	MovingFish7	8
35	HellsSponge	7
36	Merv__	6
36	Killercatty78	6
36	SyntheticSurgeon	6
36	Alteriity	6
36	thescout7	6
36	gcaisawesome	6
36	MakeHistory157	6
36	Zoeyfortnite	6
44	SquadMonster	5
44	Blackberry1310	5
44	MinttyFressh	5
44	_Nuf	5
44	Maenara	5
49	EMC_	4
49	Nicky19	4
49	masskedman	4
49	AssFullaCum	4
49	miramyu	4
54	PortlyPete69	3
54	PlasticOtari	3
56	SvenskaSara	2
56	Shiirazu	2
56	Mattesco	2
56	lordpipe	2
60	DinoDoctor_	1
60	Sleepy_Evelyn	1
60	corpsecity	1
60	Sral7	1
60	Yamdalorian	1
