rank	username	minecraft:dropped/minecraft:cobbled_deepslate
1	thewindmillman	866545
2	Hyp3rion_	61430
3	500am	30273
4	beeperbeeper5	14038
5	Jackattack53	12965
6	Fuad_R	12581
7	RoofTyler	11616
8	Iamthejo	11355
9	non089	11132
10	Kowcio_	6780
11	prizm_	6613
12	zToasty69z	5013
13	RoskobiOne	4565
14	k_ce	4505
15	SvenskaAlvar	4445
16	Alteriity	4434
17	fade_emerge78823	4102
18	QuiCreans	3540
19	Da_Boss_Rani	3291
20	iSammael	3106
21	diamondgolem35	2951
22	RealGroot	2931
23	MrKrabOnCoke	2839
24	Lord_Doob	2783
25	mihimihimihi	2701
26	AuroraSkies	2507
27	NATE_the_HALO	2483
28	AlexxO_o	2391
29	AltnumberF4	2356
30	THEKINGLyric10	2337
31	fw3xywashere	2325
32	gcaisawesome	2230
33	LeEricc	2113
34	MuffinManzz	2016
35	bearlystraight	1931
36	mobunni	1852
37	gusstationwerker	1768
38	00000000-0000-0000-0009-01f26ea966c4	1494
39	GlitchyPlate810	1432
40	Lez_	1348
41	TheALV	1323
42	MyNameIsDakar	1291
43	Gemstuff	1253
44	_Huge_Male_	1234
45	crying_wolf_13	1211
46	luseis	1168
47	PhantomBionic	1158
48	ECstardust	1050
49	CuzIm2Kev	1035
50	Moofyman	995
51	Smashic	982
52	H0UNDFRMH3LL	943
52	Wowful	943
54	Crowman1	939
54	00000000-0000-0000-0009-01f073f37a91	939
56	Killercatty78	923
57	Apollo_993	910
58	LeauVox4921	861
59	Zackran	832
60	Masssonnn	811
61	TruestTurnip	809
62	Rebytre	797
63	hanaryheatwave	783
64	coobert42	779
65	LeGold	744
66	GooseWithin	743
67	YungMaki	733
68	NoHaHeHa	722
69	EcksD	703
70	Hail_the_wombat	694
71	Dennid	685
72	JitteryJared2	645
73	Weepingbiel	625
74	fluddd	591
75	KujikawaRisechi	588
76	NLKBuilder	577
77	PazinGaming	575
78	Kekoo	552
79	Yahir091	490
79	Soplight	490
81	BenPenguin	473
81	00000000-0000-0000-0009-01ff0c3e5e4f	473
83	CowOfTheNile	471
84	pintsizedrogue	457
85	KGTV	450
86	bananamix994	442
87	Alfred603	437
88	ChronoSounds	435
89	groofles	431
90	tuckerdoodle	427
91	wwwwinnebagoooo	424
92	hm947	418
92	Secret_Canary	418
94	EtherealSilveon	410
94	iElijah	410
96	12Magner05	394
97	masskedman	384
98	jessewegottacook	382
99	noam464	374
100	SBean737	364
101	NieToksikpl	355
102	UCP_TheKingK	345
103	MogusBussy69	337
104	ConJaBz	336
105	dawerty	324
106	Aryamanee	323
107	Luminad3	307
108	Marbz_	300
109	Jimb0nat0r	299
110	Enigma0251	294
111	binman420	291
112	ItsDeltaMC	288
113	KeruNatsema	283
114	Meeerkat	277
115	catandmoose	275
116	infiniteQuery	262
117	Enderxz3	259
118	BronkerBrum	255
119	calamariclam_I	244
120	Jonte0599	239
121	Jonafrog99	234
122	Smoke____	232
123	Mahoose	231
124	CattSoup	230
125	SvenskaHugo	221
126	IdeallyGrey	210
127	MAns_44	209
128	SpacesickPrism	205
129	JuuustYeet	203
130	Gryglu583	202
131	Sepulcro	200
132	BPTY4618	194
133	tsitrawhy	186
134	corvidpartyfor6	177
134	StinkyDiplomat	177
136	EMC_	176
137	SquadMonster	175
138	TheWildMateo	172
138	Lord_Zacler	172
140	mrnosetackle	158
140	0Vyp_	158
142	ZoomieZoomie	150
143	Snowflowe	146
144	Sleepy_Time_	145
145	shadowthemonkey	143
146	Njensen7	142
147	weabis	139
148	shineh10	135
149	Racengan	134
150	kidel03	133
151	xPixelRainx	130
151	CyrusIsTired	130
153	IronArshXS	128
153	T045RTY	128
153	_Dean_123	128
153	Moham	128
157	Touched_Bread	127
158	lordpipe	125
159	Elastiq	123
159	shrimp_flips	123
161	ROY4LE	122
162	Spacewardharpy7	120
163	Flores991	119
164	lorpus	117
165	Krowuss	111
166	Kubelz	110
167	Dan_Scha	102
167	DolphinLaugh	102
169	TheEnderMan548	98
170	ItsMrRamen	95
170	Mattesco	95
172	Mr_Sun15	93
172	MineMaster0012	93
174	Heisenbberrg	92
175	DarkS0L	87
176	OffWithTheirHead	77
177	NameGenerat0r	76
178	Myszoaz	68
178	ChampPog_	68
178	Chickenchaser2	68
178	Jeteight	68
178	TJawesome09	68
183	TheSecondLord	67
184	Huwulling	64
184	cubecutter124	64
