rank	username	minecraft:dropped/minecraft:nether_brick_fence
1	Frozil12	509
2	eitanzaki	307
3	ebanana	128
4	_Nuf	124
5	thewindmillman	123
6	Racengan	76
7	Bumpy419	75
8	Di_infiri	65
9	SellyZ	58
10	Groundler	50
11	lizardfightclub	42
12	Cowison	39
13	djancak	32
14	PigDab	26
15	Blackberry1310	21
15	PortlyPete69	21
17	Segotep999	20
18	500am	19
19	ImpavidArcher	18
19	Prismyst	18
19	beeperbeeper5	18
19	stavgod	18
23	Onennon	15
24	XboxPanda	14
25	gaziter10	13
25	groofles	13
27	Merv__	12
27	epiksk8erduck	12
29	Groovy_MoonBird	11
29	noam464	11
29	YungMaki	11
29	jnp_gaming	11
33	Hyp3rion_	10
34	Paint	8
34	_Dean_123	8
34	Akoot_	8
34	wezzzi	8
34	Xclax101	8
34	lordpipe	8
40	CaptainDeadBread	7
40	Sky_light_KING	7
40	yulgur1	7
40	fkGrim	7
40	_Karmaa	7
40	MilleGrug	7
46	thescout7	6
46	Kyrum2169	6
46	adiccting01	6
46	vandmanden	6
46	Faart	6
51	BobDeBouwer1337	5
51	m_be9	5
51	EveryonesUncle	5
51	HellsSponge	5
51	GlitchyPlate810	5
56	joethahobo	4
56	mwrty	4
56	M_Patata	4
56	Zaridey	4
56	burbankbuilder28	4
56	pappaberg	4
56	Rebytre	4
56	Nicky19	4
56	fluddd	4
56	SingedBread	4
56	MasterNueve	4
56	Smoke____	4
68	hm947	3
68	Winklepicker279	3
68	Arceus1975	3
68	NomadicRobin_	3
68	MyNameIsDakar	3
68	Nycteus_	3
68	pixelviolin	3
68	Kowcio_	3
68	Soplight	3
77	EMC_	2
77	CliffEmAll	2
77	set67	2
77	ROY4LE	2
77	whoaluv	2
77	RodSerlingCringe	2
77	AlphaWolfPlaysMC	2
77	chipklip	2
77	censorsheep	2
77	Blaiku	2
77	LazySupport00	2
77	NotMeowMix	2
77	lcvezra	2
77	anbbang	2
77	diggydog67	2
92	TheBiggestFeller	1
92	Bandito_Roamer	1
92	PhantomsGhost_	1
92	dudcreeper	1
92	Wolf_Mauler_73	1
92	Arteriana	1
92	picardred	1
92	TheSecondLord	1
92	Comma__	1
92	kekhon	1
92	ProfessorBee	1
92	mimbo1211	1
92	Kakolbus	1
92	gabriels543	1
92	SuperPooch06	1
92	TheSeismicDuck	1
92	sufjanlover	1
92	claivin	1
92	MovingFish7	1
92	SSytex_X	1
92	KingMatthew506	1
92	oxfordschool	1
