rank	username	minecraft:dropped/minecraft:powered_rail
1	thewindmillman	34803
2	Spacewardharpy7	4746
3	noam464	4528
4	eitanzaki	1679
5	RobotMinion101	1053
6	Hyp3rion_	708
7	Bumpy419	705
8	Blaiku	464
9	Di_infiri	425
10	Kowcio_	402
11	oxfordschool	391
12	kekhon	356
13	TechnoNinja64	336
14	Blu3beast	290
15	PigDab	286
16	Spenduh	206
17	lillips	190
18	thescout7	155
19	Frozil12	139
20	HellsSponge	133
21	Shogunite	130
22	Werbe	129
23	Racengan	119
24	fffMike	107
25	mwrty	102
26	SteveCraftBlocks	94
26	EcksD	94
28	Skippeh	92
29	rarrq	82
30	Bandito_Roamer	69
31	beeperbeeper5	68
32	emrekn	65
32	Jackattack53	65
34	Historical_Sand	64
35	Comma__	57
36	gcaisawesome	54
36	EcksDofficial	54
38	Quaintster	47
38	jcool7	47
40	6king6colt6	43
41	Akoot_	37
42	H72l9w	32
42	xxPipperDipperxx	32
44	Freak_Genius	31
44	censorsheep	31
44	lordpipe	31
47	Smoke____	30
48	Hisiste	28
49	__tomato	27
50	Strangemonkey71	26
51	MeetTheWollo	25
52	FirsTimeGamingTV	24
53	_Virify_	20
53	Sleek_Storm_721	20
53	Lord_Jord	20
53	Steelynan	20
57	GlitchyPlate810	18
57	obzii	18
59	Nicserso	17
60	Dedalus36	16
60	fr0stss	16
60	DirtyBoar	16
60	ayamefag	16
64	YungMaki	15
65	chipklip	14
66	gabriels543	13
66	ReyTheLegend	13
68	Inbefour	11
69	UCP_TheKingK	10
69	h2p_emrld	10
71	pZygh0st	9
71	PlasticOtari	9
71	FishisTTV	9
74	ShedJr_	8
74	fred870d	8
74	GravitySaint	8
74	SkateboardR6	8
74	stavgod	8
74	yatsuta	8
74	PortlyPete69	8
81	Blackberry1310	7
82	Ev0luti0nz	6
82	bigstankyy	6
82	Mahoose	6
82	SpaceGrenadier	6
82	Arceus1975	6
82	Leyna3	6
82	Xclax101	6
82	Luigipunch989	6
90	Wooptey	5
90	joethahobo	5
90	Fullut	5
90	Masssonnn	5
90	Jimi7hits	5
90	Groundler	5
90	MakeHistory157	5
90	Sral7	5
90	Zoeyfortnite	5
99	Im_SMX	4
99	pintsizedrogue	4
99	Jalvajar	4
99	AuroraValkyrie	4
99	ExtraDumb	4
99	livingdaydreams	4
99	oreee	4
99	elmer1234	4
99	ringmasterzeke	4
99	smarticuno	4
99	RustyKedel	4
99	NomadicRobin_	4
99	fkGrim	4
99	MyNameIsDakar	4
99	The_slideV3	4
99	EfficientC52	4
99	MightyWertu	4
99	Hermanni__	4
117	xXTheWolfmanXx	3
117	Natty	3
117	Kamflame10	3
117	platinumzero	3
117	mariominejedi	3
117	SUN_DREAM	3
117	Shin69	3
117	SvenskaHugo	3
117	Teebone15	3
117	trexgb	3
127	jspwn	2
127	diamondgolem35	2
127	Firecracker320	2
127	jacxhadow	2
127	Guillemet	2
127	Mewar	2
127	MyNameIsJobo	2
127	CaptainDeadBread	2
127	Voxin2K	2
127	RodSerlingCringe	2
127	Lord_Zacler	2
127	JESS_THE_RERE	2
127	Universz	2
127	WyngGoy	2
127	07shiny	2
127	Soplight	2
127	SammiWolfGirl	2
127	_TCARREIRA_	2
127	KingMatthew506	2
127	FallenCorps	2
147	Gary_	1
147	Groovy_MoonBird	1
147	fanofbands101	1
147	soundad	1
147	Incinere	1
147	youhjjhhhjj	1
147	Batman922	1
147	Euclidoris	1
147	MattieHD	1
147	ProfessorBee	1
147	_Nuf	1
147	Smashic	1
147	Awyrlas	1
147	KGTV	1
147	Patwannabegamer	1
147	Chromary	1
147	GreedyFern8581	1
147	Hiryu27	1
147	Skylord_Luke	1
147	sammidk	1
147	TheTrueClipse	1
147	claivin	1
147	MustaLoordi	1
147	monky_irl	1
147	IAmTheWalrus910	1
147	sp00ky_ghost977	1
147	djancak	1
147	ediballbearings	1
147	HAruSAme14	1
147	MilleGrug	1
147	laron58	1
147	cichy096	1
147	mountaingirl311	1
147	jnp_gaming	1
147	camando92	1
147	Jordan_R	1
