rank	username	minecraft:dropped/minecraft:red_mushroom
1	thewindmillman	2799
2	Di_infiri	444
3	_Nuf	357
4	Sral7	303
5	eitanzaki	224
6	Freak_Genius	209
7	noam464	202
8	Werbe	161
8	AssEatrAndLicker	161
10	MightyWertu	160
11	TechnoNinja64	158
12	lillips	118
13	HellsSponge	112
14	burbankbuilder28	102
15	Wolverine4302	100
16	stavgod	99
17	PigDab	85
18	Smoke____	82
19	500am	80
20	T045RTY	77
21	SellyZ	75
22	oxfordschool	72
23	Blaiku	71
24	EMC_	70
25	SammiWolfGirl	65
26	Shiirazuku	58
26	Frozil12	58
28	Kowcio_	57
29	Groovy_MoonBird	53
30	GravitySaint	52
31	Soplight	51
32	RobotMinion101	50
33	Zythose	49
34	PortlyPete69	46
34	EcksD	46
36	beeperbeeper5	44
36	YungMaki	44
38	Jovaphobic	42
39	AJplaysMC_	40
40	lordpipe	37
41	LexMakesHistory	35
41	chipklip	35
41	El_Jalapeno	35
44	avalan64	34
45	kekhon	33
46	Nesquiczek	32
46	CookTheChef3	32
48	joethahobo	30
48	thescout7	30
50	_TCARREIRA_	29
51	Blackberry1310	27
52	Stewart32547	25
53	TheDiamondCG	24
53	vandmanden	24
55	Maenara	21
56	ColeSnyder	20
56	Skippeh	20
58	_Razar	19
58	Euclidoris	19
58	TheSecondLord	19
58	fallingemma	19
62	Ninzyyy	17
62	CollinMH06	17
62	Blu3beast	17
65	beeleg	16
65	camando92	16
67	PeteO1995	15
67	vampgey	15
67	Spenduh	15
67	Zoeyfortnite	15
71	awesomeoneme	14
71	Swexti	14
71	yulgur1	14
71	Jiminbub	14
71	mountaingirl311	14
76	RebelAndroid	13
76	NomadicRobin_	13
76	KermitTheKripple	13
76	stahouo	13
80	squigglybones	12
80	claivin	12
80	SUN_DREAM	12
80	jnp_gaming	12
84	Drlzyy	11
84	Incinere	11
84	Akoot_	11
84	monky_irl	11
88	Vizzoid	10
88	Kakolbus	10
88	NYJ	10
88	annoyingenderman	10
88	kinas45y5	10
93	rats_life	9
93	_Virify_	9
93	boog4loo	9
93	gcaisawesome	9
93	TheDankPlatypus	9
93	WET_WET_WET	9
99	pintsizedrogue	8
99	AuroraValkyrie	8
99	Paintz	8
99	Mpkkiller	8
99	RodSerlingCringe	8
99	Xclax101	8
99	Groundler	8
99	Strangemonkey71	8
107	Malorn_Aetherius	7
107	YahooScreen9000	7
107	Wowful	7
107	MyNameIsDakar	7
107	Eraxa	7
112	Bandito_Roamer	6
112	heckface	6
112	InfernalMound	6
112	Gingayy	6
112	_czarny	6
112	gaming4Naming	6
112	diggydog67	6
119	Foof13	5
119	H72l9w	5
119	dopplexd	5
119	BobDeBouwer1337	5
119	Scathra	5
119	Inchef	5
119	eviltunix	5
119	MyNameIsJobo	5
119	OtariCharlie	5
119	KnightmareD	5
119	audiocracked	5
119	censorsheep	5
119	Ashton1242	5
119	SilentKarma	5
133	teslawolf38	4
133	bigstankyy	4
133	BlancoFlaco	4
133	TooManyDuck	4
133	Hashinshin69	4
133	Wooptey	4
133	MOSS000	4
133	Swalt	4
133	Comma__	4
133	Enigma0251	4
133	Awyrlas	4
133	Rumpletaezer	4
133	wezzzi	4
133	Inbefour	4
133	IAmTheWalrus910	4
133	MineMaster0012	4
133	lcvezra	4
133	tartanboy	4
133	Ezekson	4
152	seanitoo	3
152	Cowison	3
152	openatheclose	3
152	CoffeeNoir	3
152	TheFlfthHorseman	3
152	TheThomas69	3
152	SteveCraftBlocks	3
152	surfinggiraffejp	3
152	DermeinUser	3
152	Zaridey	3
152	Marbz_	3
152	gabriels543	3
152	jedi_george	3
152	SuperPooch06	3
152	Bumpy419	3
152	ApophisNova	3
152	The11thDoctor	3
152	Kouridragon	3
152	TheShyPig	3
152	Rasmanden	3
152	LordLukas04	3
152	RedcatVII	3
152	MovingFish7	3
152	LordBlaze11	3
152	voiding_	3
152	somegirl12_	3
152	MilleGrug	3
152	xorompole	3
152	MyNamaSheff	3
152	FallenCorps	3
152	h2p_emrld	3
183	dudcreeper	2
183	pZygh0st	2
183	KingFaenor	2
183	6king6colt6	2
183	SaucyDark	2
183	livingdaydreams	2
183	lotarp	2
183	fr0stss	2
183	Valoth	2
183	AngalexikCZ	2
183	Mewar	2
183	Xalithia	2
183	ciemacigans	2
183	loveseeker	2
183	CarltheCuck	2
183	Hiryu27	2
183	HAIRYCLOUD626	2
183	fred870d	2
183	TTNG	2
183	NormanFetus	2
183	ogoa	2
183	EveryonesUncle	2
183	_Bguette_	2
183	wobn	2
183	ebanana	2
183	GlitchMixed	2
183	_Karmaa	2
183	NameGenerat0r	2
183	E775	2
183	Typadopoulos	2
183	Spacewardharpy7	2
183	WyngGoy	2
183	33sudo	2
183	gabbyeden	2
183	Njensen7	2
183	Rainaldus	2
183	UrbanPlanner1978	2
183	mediumBev	2
183	FishisTTV	2
222	peachfuzz1267	1
222	I_Am_Mushkin	1
222	Iagoku	1
222	RatatJuice	1
222	Zippyzam	1
222	ewsophie	1
222	drippysusbaka	1
222	NinjaKnifeKill	1
222	Mahoose	1
222	spaece	1
222	ARMY_OF_TOAST	1
222	Notta	1
222	Sebastiannlol	1
222	m_be9	1
222	FemboyFwuit	1
222	Fullut	1
222	leaf26	1
222	NotTrixi	1
222	ROY4LE	1
222	xxPipperDipperxx	1
222	DSYisDizzy	1
222	r123moore	1
222	Noah_Bez	1
222	benediktine1	1
222	mimbo1211	1
222	Bazongoman	1
222	Jackattack53	1
222	Chromary	1
222	DaviusMaximoose	1
222	jewbacaman	1
222	aec9	1
222	wirelesstree	1
222	TheTrueClipse	1
222	Lord_Jord	1
222	420BreadLizard	1
222	TheSeismicDuck	1
222	sufjanlover	1
222	Meatlaugh	1
222	Soap_Bender	1
222	OtherAnimus	1
222	Deerfoot	1
222	MustaLoordi	1
222	fluddd	1
222	Racengan	1
222	ComplexSquirrel	1
222	Dusk_95	1
222	Optiprimus	1
222	Decaying_Lotus	1
222	IdeallyGrey	1
222	LilcoinXX	1
222	bloomkieren	1
222	Endorcer	1
222	MADDMASTA	1
222	SSytex_X	1
222	Dogcorn69420	1
222	krutas2000	1
222	anbbang	1
222	Smaldo	1
222	OnlyOfficial	1
222	Enderslayerxz3	1
222	MeetTheWollo	1
222	Powowowow	1
222	2blox	1
222	EcksDofficial	1
222	MelodyGaysharks	1
