rank	username	minecraft:dropped/minecraft:lily_pad
1	Natofthese	419
2	Di_infiri	396
3	Racengan	387
4	beeperbeeper5	376
5	noam464	252
6	SpicyDuckMan	201
7	WyngGoy	197
8	jnp_gaming	190
9	Freak_Genius	173
10	gcaisawesome	155
11	kekhon	142
12	eitanzaki	140
13	Nicserso	108
14	Hyp3rion_	105
15	Kyrum2169	100
16	PigDab	96
17	thescout7	95
18	EcksD	89
19	awesomeoneme	78
20	Spacewardharpy7	74
21	Historical_Sand	73
22	Blackberry1310	69
23	error10101	68
24	Harotio	64
24	lillips	64
24	Quotary	64
27	Blaiku	61
28	LordSpeed37	58
29	HellsSponge	55
29	Spenduh	55
31	SteveCraftBlocks	51
32	djancak	47
33	Lord_Zacler	43
34	BlancoFlaco	37
35	Quaintster	33
36	Vizzoid	32
36	Nyxiom_	32
36	Werbe	32
36	seramalen	32
40	Groovy_MoonBird	31
41	pintsizedrogue	29
42	acowxd	28
42	Dali1465	28
42	Kokeech	28
42	DanTheBuilderino	28
46	Shazzyling	27
46	TheSeismicDuck	27
46	SpaceTurtleOX	27
49	CoffeeNoir	26
50	Z3braYTIL	25
50	Frozil12	25
52	burbankbuilder28	24
53	Os_qq	23
53	TheSecondLord	23
53	Maenara	23
56	NomadicRobin_	22
57	_Nuf	21
57	thewindmillman	21
59	Gundam_Steven	20
59	Strangemonkey71	20
61	Natty	19
62	lotarp	18
63	XoTHotovich	17
63	Kowcio_	17
65	lewieinnit	16
65	_Razar	16
65	r123moore	16
65	YungMaki	16
65	PortlyPete69	16
65	Smoke____	16
71	Ozixar	14
71	Cambo5000	14
71	benediktine1	14
71	trixterrx	14
71	ItsDeltaMC	14
76	ShedJr_	13
76	Warlord324	13
76	monky_irl	13
79	dragon589	12
80	Mewar	11
80	Bumpy419	11
80	Rebytre	11
80	Skylord_Luke	11
80	Fatimus_	11
80	aec9	11
80	Drewen24	11
80	DTwenty	11
80	Dr0xzy	11
80	RoboTramp7865	11
80	00000000-0000-0000-0009-01f898304150	11
91	Froste131	10
91	KarlKaek	10
91	livingdaydreams	10
91	jacxhadow	10
91	500am	10
91	ayamefag	10
91	brofrickcheaters	10
91	KingMatthew506	10
99	RebelAndroid	9
99	RefluxRatio	9
99	LilyNova	9
99	masskedman	9
99	TheOuterCore	9
104	EMC_	8
104	Begformurrcy	8
104	Kkanot	8
104	Paintz	8
104	Winklepicker279	8
104	BRRRN179	8
104	Huic_ostiarius	8
104	420BreadLizard	8
104	Cyntrical	8
104	Hisiste	8
104	Dusk_95	8
104	lcvezra	8
104	Poppy235	8
104	vandmanden	8
118	Bandito_Roamer	7
118	NinjaKnifeKill	7
118	dopplexd	7
118	eiC_	7
118	Kennyissleepy	7
118	Hermanni__	7
124	goalie9	6
124	T045RTY	6
124	PhantomBionic	6
124	Polahbear	6
124	rpmm	6
124	eclipseboi	6
124	Kakolbus	6
124	ImDisconnected_	6
124	Kim_Jong_eel	6
124	YahooScreen9000	6
124	MyNameIsDakar	6
124	8092_	6
124	IdeallyGrey	6
124	Bawbman	6
124	_TCARREIRA_	6
124	kinas45y5	6
140	pZygh0st	5
140	TheMaster972	5
140	Fullut	5
140	paranoid_plant	5
140	gustarbite	5
140	SkateboardR6	5
140	MovingFish7	5
140	__tomato	5
140	obzii	5
149	SirUnderpants	4
149	Unitas_isa	4
149	bloodbiter	4
149	Covalents	4
149	gabriels543	4
149	CranialBlowout	4
149	kars0n	4
149	HyperCave	4
149	wrinkledpiglet	4
149	lizardfightclub	4
149	Sky_light_KING	4
149	avalan64	4
149	The_Quack_Dealer	4
149	_Karmaa	4
149	Keeogwi	4
149	Toriankel	4
149	IAmTheWalrus910	4
149	Eraxa	4
149	SammiWolfGirl	4
149	Wenceslavs	4
149	Dogcorn69420	4
149	Yahrto	4
171	Bruh77	3
171	TildaAndrea	3
171	Tommhh	3
171	bigstankyy	3
171	SaucyDark	3
171	youhjjhhhjj	3
171	Myszoaz	3
171	joethahobo	3
171	Swexti	3
171	4383	3
171	BobDeBouwer1337	3
171	Cortexia	3
171	KaptainKornhole	3
171	BlueZabu	3
171	Doom_melon	3
171	AJplaysMC_	3
171	impossibleteapot	3
171	cedric72	3
171	TragicHero27	3
171	Psycho_boy123	3
171	SpouHn	3
171	sufjanlover	3
171	Toiton	3
171	El_Jalapeno	3
171	censorsheep	3
171	KatieBelle04	3
171	Typadopoulos	3
171	Nagasaki_Riku	3
171	SSytex_X	3
171	xof_on_microwave	3
171	Soffbord	3
171	Enderslayerxz3	3
203	dudcreeper	2
203	Drlzyy	2
203	I_Am_Mushkin	2
203	Hashinshin69	2
203	Spaghettatron	2
203	ivorico	2
203	301851	2
203	Swalt	2
203	TheEnusa	2
203	TheFlfthHorseman	2
203	FirsTimeGamingTV	2
203	heckface	2
203	TuesdayEpisode	2
203	InfernalMound	2
203	_Minnty_	2
203	Nach0Bear	2
203	Zaridey	2
203	Apetarox	2
203	CollinMH06	2
203	Freeman666	2
203	Norrhede	2
203	Chromary	2
203	Queen_Jalapeno	2
203	Hiryu27	2
203	blackraith272	2
203	jewbacaman	2
203	xo_Marren_xo	2
203	RodSerlingCringe	2
203	Lord_Jord	2
203	AlphaWolfPlaysMC	2
203	Dabatha	2
203	Wowful	2
203	madderfall	2
203	chipklip	2
203	1442	2
203	claivin	2
203	QueenShuvi	2
203	Templar_David	2
203	Blu3beast	2
203	Xclax101	2
203	CurvedCubes	2
203	marumochis	2
203	cringenaynaybaby	2
203	Groundler	2
203	cytotoxaint	2
203	Vraem	2
203	lordpipe	2
203	SvenskaHugo	2
203	BlankityMcBlank	2
203	DontHaveKick	2
203	stahouo	2
203	_Yonk_	2
203	ProbsNotNova	2
203	annoyingenderman	2
203	Legendosh	2
203	MusicMe1005	2
203	UrbanPlanner1978	2
203	PlasticOtari	2
203	Teebone15	2
262	Batoser	1
262	PhantomsGhost_	1
262	123louis456	1
262	Cowison	1
262	zqw10k	1
262	Killswitch_RW	1
262	Merv__	1
262	DepressedCubic	1
262	6king6colt6	1
262	diamondgolem35	1
262	Hyugo	1
262	ImpavidArcher	1
262	Lisppp	1
262	superfred2010	1
262	Wooptey	1
262	Batman922	1
262	HavickMC	1
262	SidorAlex	1
262	_Frepp_	1
262	Whiterooster001	1
262	rarrq	1
262	Notta	1
262	MoistEggo	1
262	m_be9	1
262	Nicky_H225	1
262	MinttyFressh	1
262	MattieHD	1
262	GingerNeutron	1
262	Sloths_Ender	1
262	CarbonatedCola	1
262	boog4loo	1
262	crying_wolf_13	1
262	UncreativeArtist	1
