rank	username	minecraft:dropped/minecraft:red_wool
1	noam464	96268
2	thewindmillman	48320
3	EcksD	29482
4	Freak_Genius	2721
5	HellsSponge	2096
6	oxfordschool	1676
7	beeperbeeper5	1116
8	Werbe	909
9	emrekn	665
10	eitanzaki	651
11	Blaiku	599
12	JEWISHBadenBeele	578
13	rarrq	575
14	mariominejedi	448
15	EcksDofficial	410
16	PhantomsGhost_	386
17	TechnoNinja64	321
18	__tomato	310
19	Di_infiri	300
20	Skylord_Luke	277
21	Hyp3rion_	271
22	iHuntWeeaboos	266
23	Ezekson	249
24	Soplight	219
25	lordpipe	203
26	joethahobo	199
27	Eraxa	198
28	UCP_TheKingK	146
29	500am	143
29	Smashic	143
31	AlexxO_o	141
32	TheSecondLord	139
33	Lord_Jord	132
34	paranoid_plant	128
34	PigDab	128
36	KingMatthew506	126
37	kekhon	123
38	diamondgolem35	117
39	Gooberkid223	108
39	Sky_light_KING	108
41	Merv__	101
42	Spacewardharpy7	94
43	teslawolf38	76
43	MovingFish7	76
45	stahouo	73
46	Xclax101	65
46	Legendosh	65
48	set67	64
48	MeanTugger	64
48	Shogunite	64
51	SammiWolfGirl	61
52	00000000-0000-0000-0009-01ff0c3e5e4f	59
53	ApophisNova	58
53	MyNamaSheff	58
55	Blackberry1310	52
56	lillips	51
57	I_Am_Mushkin	49
58	Jiminie	47
59	Deerfoot	46
60	seanitoo	43
61	SkateboardR6	41
62	RadarHz	36
63	Blu3beast	33
64	SaucyDark	30
64	Dogcorn69420	30
66	Swexti	29
67	Huwulling	26
67	prizm_	26
67	andy_rex	26
70	RebelAndroid	20
71	Rumpletaezer	18
71	binman420	18
73	The11thDoctor	17
73	EveryonesUncle	17
73	Nycteus_	17
76	Soap_Bender	16
76	Hermanni__	16
76	CattSoup	16
79	RobotMinion101	15
79	Akoot_	15
81	Awyrlas	14
81	Jackattack53	14
83	Frozil20	13
83	OfficerAnvil	13
85	PlasticOtari	10
86	EMC_	9
86	TheTommyGun63	9
86	Optiprimus	9
89	InfernalMound	8
89	Quaintster	8
89	PlzNoBM	8
92	__Auspicious	7
93	Hpdinosaur	6
94	ImpavidArcher	5
94	yulgur1	5
94	CuzIm2Kev	5
97	Mahoose	4
97	Lez_	4
97	intropass	4
97	TheWildMateo	4
97	k1ngGilgamesh	4
97	thgrocks	4
97	MyNameIsDakar	4
97	Jij0	4
97	Kowcio_	4
97	jnp_gaming	4
107	AnnieBathory	3
107	proxivitoid	3
107	rii1efnaki	3
107	NameGenerat0r	3
107	AssFullaCum	3
107	laron58	3
113	Incinere	2
113	jushykins	2
113	Fullut	2
113	M_Patata	2
113	NomadicRobin_	2
113	Fuad_R	2
113	MasterNueve	2
113	MakeHistory157	2
113	YungMaki	2
113	GlitchyPlate810	2
113	CalebDHawk	2
124	pintsizedrogue	1
124	MOSS000	1
124	H72l9w	1
124	TheMaster972	1
124	Inchef	1
124	Tjhodskins19	1
124	r123moore	1
124	XboxPanda	1
124	drunkeeez	1
124	__Fanda__	1
124	CruncyIsTaken	1
124	Mattesco	1
124	Skomo	1
124	OverallConcept	1
124	KermitTheKripple	1
124	StinkyDiplomat	1
124	JoCoLi	1
124	ReyTheLegend	1
124	djancak	1
124	Luigipunch989	1
124	a_smol_bean	1
124	PortlyPete69	1
124	Seindi	1
124	ProbsNotNova	1
124	UltraZombie	1
124	TheOuterCore	1
124	Quotary	1
124	kinas45y5	1
124	aubergined	1
124	FishisTTV	1
