rank	username	minecraft:dropped/minecraft:copper_ingot
1	thewindmillman	205547
2	TheSecondLord	4118
3	Toriankel	241
4	diamondgolem35	129
5	pintsizedrogue	64
5	Vegvisir	64
7	EcksD	61
8	cwartzo	21
9	C0by3llis	13
9	Kowcio_	13
11	IdeallyGrey	11
12	GlitchyPlate810	10
12	Enderslayerxz3	10
14	12Magner05	9
15	Hyp3rion_	8
16	pixelviolin	7
17	EMC_	4
17	Nicky_H225	4
17	Smashic	4
17	Kkanot	4
17	noam464	4
17	EveryonesUncle	4
23	joethahobo	3
23	beeperbeeper5	3
23	Segotep999	3
23	Legendosh	3
27	_NieToksikpl_	2
27	ImpavidArcher	2
27	Valoth	2
27	Chickenchaser2	2
27	500am	2
27	dartwaffle	2
27	Lord_Zacler	2
27	AltnumberF4	2
35	nataliecool	1
35	_Razar	1
35	RebelAndroid	1
35	Myszoaz	1
35	MinttyFressh	1
35	SteveCraftBlocks	1
35	CyrusIsTired	1
35	Masssonnn	1
35	himak1	1
35	CollinMH06	1
35	Arceus1975	1
35	ToastedGamingYT	1
35	Dan_Scha	1
35	Hail_the_wombat	1
35	Lord_Jord	1
35	NomadicRobin_	1
35	the__Reaper4999	1
35	SvenskaHugo	1
35	YungMaki	1
35	Smoke____	1
