rank	username	minecraft:dropped/minecraft:gravel
281	Da_Boss_Rani	162
281	MonitorLizards	162
283	Ssor69	158
284	Soffbord	157
285	valkam13	156
286	mobunni	155
287	Snowflowe	151
288	picardred	150
288	Hail_the_wombat	150
290	CalebDHawk	149
291	Dreamdbr14	147
292	FishisTTV	146
293	CollinMH06	143
293	TJawesome09	143
295	emrekn	142
295	lizardfightclub	142
295	EtherealEspresso	142
295	anbbang	142
299	SellyZ	140
299	balin55	140
