rank	username	minecraft:dropped/minecraft:dead_brain_coral_block
1	Kura2218	74
2	EcksD	64
3	Manaateee	41
4	eitanzaki	36
5	kekhon	21
6	lillips	20
7	MattieHD	16
8	H0UNDFRMH3LL	12
9	thewindmillman	11
10	Lez_	7
11	Blackberry1310	6
11	DarkLawD	6
13	Foof13	5
14	NotoriousNina	4
14	1442	4
16	lorpus	3
17	Doom_melon	2
17	Bumpy419	2
17	fkGrim	2
17	HellsSponge	2
17	Zetsey	2
17	_i_ERROR_i_	2
17	Ezekson	2
17	ConnorDanky_	2
25	FroggoTheDoggo	1
25	PazinGaming	1
25	ImpavidArcher	1
25	the_fireminer	1
25	beeperbeeper5	1
25	Euclidoris	1
25	500am	1
25	MyNameIsJobo	1
25	Donutt	1
25	oscminus	1
25	Voxin2K	1
25	ItsAki_	1
25	Onennon	1
25	J4k__	1
25	EveryonesUncle	1
25	Soap_Bender	1
25	claivin	1
25	FreakGenius	1
25	SkateboardR6	1
25	lordpipe	1
25	Kowcio_	1
25	TheOnlyRake	1
25	Nicserso	1
