rank	username	minecraft:dropped/minecraft:oak_sign
1	FreakGenius	505
2	Jackattack53	280
3	Eczbek	275
4	beeperbeeper5	256
5	Lez_	252
6	noam464	240
7	eitanzaki	193
8	HellsSponge	170
9	lordpipe	153
10	thescout7	151
11	Segotep999	147
12	Spacewardharpy7	137
13	Hyp3rion_	114
14	kekhon	100
15	TechnoNinja64	99
16	EcksD	93
17	MovingFish7	92
18	SteveCraftBlocks	78
19	Xclax101	76
20	Onennon	73
21	gustarlep	71
21	EveryonesUncle	71
23	NatalieTW	69
24	PhantomsGhost_	59
25	AdmiralSmoke	57
26	SoosAmongus	55
27	_Virify_	51
28	pintsizedrogue	50
29	Blu3beast	49
30	Paintz	48
30	luseis	48
32	Di_infiri	46
33	MattieHD	43
34	sadvavilloso	42
35	joethahobo	38
36	EMC_	37
37	pixelviolin	35
37	bloomkieren	35
39	Frozil20	34
40	ImpavidArcher	33
40	Mahoose	33
42	NomadicRobin_	32
42	Sheldor097	32
42	alderban107	32
45	SlayerCrypto	30
45	Racengan	30
47	Z3braYTIL	29
48	tyraxxx	28
49	Incinere	27
49	Blackberry1310	27
49	Kyrum2169	27
52	Rebytre	26
52	Werbe	26
52	Blaiku	26
55	Nicserso	25
56	Guillemet	24
56	k1ngGilgamesh	24
56	sxc_	24
56	Legendosh	24
56	Zoeyfortnite	24
61	_Nuf	23
61	thewindmillman	23
63	rarrq	22
64	ROY4LE	21
64	Quaintster	21
64	Pundehoo	21
64	jcool7	21
64	MilleGrug	21
69	Wooptey	20
69	Malorn_Aetherius	20
69	WyngGoy	20
69	Cocoamallows	20
69	Kowcio_	20
74	excelsionprime	19
75	fade_emerge78823	18
75	Marbz_	18
75	lillips	18
75	Eraxa	18
75	YungMaki	18
75	xzvu	18
81	AuroraValkyrie	17
81	Zaridey	17
81	Chromary	17
81	fluddd	17
81	Njensen7	17
81	Jimb0nat0r	17
87	Skylord_Luke	16
87	Mattesco	16
87	Warlord324	16
90	NotKaden_	15
90	prizm_	15
90	_Karmaa	15
90	censorsheep	15
90	Soplight	15
90	Spenduh	15
96	Groovy_MoonBird	14
96	livingdaydreams	14
96	TheSecondLord	14
96	TableTim	14
96	iElijah	14
96	Fuad_R	14
96	Enderxz3	14
96	PlasticOtari	14
96	skrongus	14
105	I_Am_Mushkin	13
105	T045RTY	13
105	lorpus	13
108	Kakolbus	12
108	yaboo88	12
108	NameGenerat0r	12
108	Groundler	12
112	JohnnyFyes	11
112	Historical_Sand	11
112	Ssor69	11
112	12Magner05	11
112	Smashic	11
112	Bumpy419	11
112	Katthaj	11
112	Tyrannosplart	11
112	StinkyDiplomat	11
112	cichy096	11
122	PazinGaming	10
122	q_wq	10
122	Huwulling	10
122	Swexti	10
122	mwrty	10
122	Norrhede	10
122	WET_WET_WET	10
122	Sqwishy	10
122	Lord_Jord	10
122	SkateboardR6	10
122	Luigipunch989	10
122	Hermanni__	10
122	UrbanPlanningEx	10
122	h2p_emrld	10
136	TildaAndrea	9
136	hm947	9
136	Frxnkz	9
136	Fullut	9
136	2extreeme	9
136	weabis	9
136	__tomato	9
136	lcvezra	9
136	CalebDHawk	9
145	LionelHutzESQ	8
145	Hormones	8
145	Archsam	8
145	m_be9	8
145	Arceus1975	8
145	obzii	8
145	vandmanden	8
152	Inchef	7
152	fallingemma	7
152	yheece	7
152	TheShyPig	7
152	Akoot_	7
152	Soap_Bender	7
152	Quincannon	7
152	El_Jalapeno	7
152	Burge_r	7
152	SammiWolfGirl	7
152	PortlyPete69	7
152	Steelynan	7
152	jnp_gaming	7
165	CueMix	6
165	ItsColin11	6
165	bigstankyy	6
165	Franco093	6
165	ShedJr_	6
165	H72l9w	6
165	Awyrlas	6
165	burbankbuilder28	6
165	Azmodan_246	6
165	PigDab	6
165	kubinek69	6
165	GooseWithin	6
165	__Auspicious	6
165	ItsDeltaMC	6
165	ItsJunoIGuess	6
165	Rainaldus	6
181	Ze1ig	5
181	CoffeeNoir	5
181	Comma__	5
181	ItsHydroMC	5
181	groggregg42	5
181	xxPipperDipperxx	5
181	PeteO1995	5
181	hanaryheatwave	5
181	Krowuss	5
181	oscminus	5
181	ApophisNova	5
181	F_Uhre	5
181	FishyBoy3811	5
181	claivin	5
181	carbo_bro	5
181	IdeallyGrey	5
181	SSytex_X	5
181	Vellu21	5
181	ConnorDanky_	5
181	MyNamaSheff	5
181	Powowowow	5
181	xolstoi	5
181	Calbo_	5
181	FishisTTV	5
205	Bandito_Roamer	4
205	6king6colt6	4
205	Sleek_Storm_721	4
205	Bad_At_Names_Guy	4
205	LoboTheLobster	4
205	MinttyFressh	4
205	Aatronix	4
205	_Dean_123	4
205	2Stout	4
205	Gamergirl420628	4
205	BlueZabu	4
205	mariominejedi	4
205	Aneurysmas	4
205	CarltheCuck	4
205	Truckoss	4
205	videogames_	4
205	Mr_Sun15	4
205	fxiryglitch	4
205	zToasty69z	4
205	IamCL4SSY	4
205	420BreadLizard	4
205	LeonelSalamanca	4
205	C0oOK13M0N5T3R	4
205	SwooshBoi	4
205	ChronoSounds	4
205	Vorlice	4
205	iSammael	4
205	LordSpeed37	4
205	starbits140	4
205	non089	4
205	TheBananaKat	4
205	Ezekson	4
205	AltnumberF4	4
205	calamariclam_I	4
239	Jovaphobic	3
239	funeralhome	3
239	SmashingPump	3
239	diamondgolem35	3
239	BlancoFlaco	3
239	RebelAndroid	3
239	Stynxy	3
239	Crowman1	3
239	ProfessorBee	3
239	eviltunix	3
239	Xalithia	3
239	gcaisawesome	3
239	Rumpletaezer	3
239	GreedyFern8581	3
239	TheWildMateo	3
239	Shiirazu	3
239	StormPool	3
239	AlexxO_o	3
239	halfwayup	3
239	fw3xy74	3
239	Blamphe	3
239	ReSynced	3
239	yulgur1	3
239	natajimi	3
239	Lord_Zacler	3
239	Manaateee	3
239	The_slideV3	3
239	MightyWertu	3
239	Toriankel	3
239	33sudo	3
239	stavgod	3
239	ayamefag	3
239	Zetsey	3
239	_TCARREIRA_	3
239	Dreamdbr14	3
239	Kubeusz2010	3
239	RoboTramp7865	3
239	2blox_	3
239	sumwun19	3
239	00000000-0000-0000-0009-01f7139a6fba	3
279	k_ce	2
279	seanitoo	2
279	Merv__	2
279	shineh10	2
279	Houstonion	2
279	EkkoTraveler	2
279	Killercatty78	2
279	Isaac70096	2
279	SyntheticSurgeon	2
279	Seyaboy	2
279	MoistMicrowave	2
279	PhantomBionic	2
279	EvenMina	2
279	picardred	2
279	NieToksikpl	2
279	CliffEmAll	2
279	Cryptacity	2
279	bloodbiter	2
279	Nicky_H225	2
279	eclipseboi	2
279	Pelbo	2
279	KGTV	2
