rank	username	minecraft:dropped/minecraft:brush
1	pixelviolin	6
2	oscminus	5
3	Merv__	3
4	Archsam	2
4	lordpipe	2
6	pintsizedrogue	1
6	Alteriity	1
6	Krowuss	1
6	StarCookiees_	1
6	Steelynan	1
6	Enderxz3	1
