rank	username	minecraft:dropped/minecraft:bee_nest
1	500am	63
2	RebytreGT	26
3	TheSecondLord	22
4	Spacewardharpy7	20
5	EMC_	17
6	joethahobo	14
7	Yamdalorian	12
8	NatalieTW	9
8	eitanzaki	9
8	Blackberry1310	9
11	FreakGenius	7
12	PortlyPete69	6
12	CattSoup	6
14	beeperbeeper5	5
14	masskedman	5
14	_Mythic____	5
17	emreknugrlu	4
18	r123moore	3
18	Di_infiri	3
18	oscminus	3
18	Skylord_Luke	3
18	AlexxO_o	3
18	claivin	3
18	lordpipe	3
18	Segotep999	3
26	Lez_	2
26	Da_Boss_Rani	2
26	Vizzoid	2
26	Secret_Canary	2
26	Mr_Froxy	2
26	Akoot_	2
26	Wowful	2
26	luseis	2
26	SvenskaHugo	2
26	pixelviolin	2
26	Kowcio_	2
26	ConnorDanky_	2
26	WYFYoyo	2
39	Zee_zey	1
39	ECstardust	1
39	KarlKaek	1
39	T045RTY	1
39	lorywithay	1
39	MSK__	1
39	royal_2	1
39	akap47	1
39	Saucepeh	1
39	Crowman1	1
39	12Magner05	1
39	kekhon	1
39	_witch_craft_	1
39	ROY4LE	1
39	2Stout	1
39	noam464	1
39	bl1ss0	1
39	yheece	1
39	thewindmillman	1
39	burbankbuilder28	1
39	fkGrim	1
39	Tyrannosplart	1
39	Eraxa	1
39	Pumpkin_P_Patch	1
39	jaimshae	1
39	Kubeusz2010	1
39	Ezekson	1
39	PlasticOtari	1
