rank	username	minecraft:dropped/minecraft:white_carpet
1	EcksD	39725
2	noam464	35461
3	thewindmillman	4082
4	eitanzaki	3517
5	YungMaki	2337
6	SoosAmongus	1887
7	fffMike	1722
8	Di_infiri	1663
9	Bumpy419	954
10	Lez_	506
11	lordpipe	468
12	beeperbeeper5	440
13	lillips	434
14	HellsSponge	419
15	anbbang	413
16	FreakGenius	352
17	Crowman1	309
18	Spacewardharpy7	282
19	Werbe	225
20	thescout7	224
21	luseis	202
22	M_Patata	201
23	MasterNueve	200
24	livingdaydreams	197
24	joethahobo	197
26	ScootOfBoot	194
27	Kowcio_	193
28	Frozil20	192
29	Blaiku	178
30	Quaintster	164
31	Huwulling	136
32	Kubeusz2010	132
32	jnp_gaming	132
34	Jackattack53	130
35	_Mythic____	122
36	Njensen7	119
36	Hermanni__	119
38	cichy096	116
39	PlasticOtari	113
40	AdmiralSmoke	108
41	AlexxO_o	102
42	Hisiste	100
43	AuroraValkyrie	97
44	NameGenerat0r	85
45	hm947	83
46	ConnorDanky_	80
47	TheSecondLord	76
48	Hyp3rion_	69
49	ayamefag	65
50	bloodbiter	63
51	Blackberry1310	60
52	SmashingPump	59
52	TechnoNinja64	59
54	Mahoose	57
55	Smashic	49
55	NomadicRobin_	49
55	fluddd	49
58	DolphinLaugh	47
59	Soap_Bender	46
60	stavgod	42
61	heckface	36
62	Swalt	34
62	Onennon	34
62	Groundler	34
65	KingMatthew506	33
66	Soplight	29
67	Touched_Bread	28
68	Blu3beast	25
69	rarrq	24
70	Segotep999	23
71	Bandito_Roamer	21
71	Swexti	21
73	12Magner05	19
73	kekhon	19
75	ImpavidArcher	18
75	elmer1234	18
77	Da_Boss_Rani	17
78	Lord_Jord	15
78	djancak	15
78	Dogcorn69420	15
81	ROY4LE	14
81	Rumpletaezer	14
83	TooManyDuck	13
83	Xalithia	13
83	IamCL4SSY	13
83	EveryonesUncle	13
87	LeauVox4921	12
87	groofles	12
87	CattSoup	12
90	Groovy_MoonBird	11
90	I_Am_Mushkin	11
90	Comma__	11
90	PigDab	11
90	zToasty69z	11
90	jaimshae	11
90	alderban107	11
97	H0UNDFRMH3LL	10
97	Alteriity	10
97	MAns_44	10
100	Archsam	9
100	Sleepy_Time_	9
100	MattieHD	9
100	_lildarki3	9
100	Inchef	9
100	Gryglu583	9
100	Avocadogerms	9
100	Warlord324	9
100	Spenduh	9
100	diggydog67	9
110	Cowison	8
110	m_be9	8
110	Kakolbus	8
110	Snowflowe	8
110	Eraxa	8
110	PlzNoBM	8
116	JohnnyFyes	7
116	lunathelemon	7
116	_Dean_123	7
116	pappaberg	7
116	ougstur	7
116	Manaateee	7
116	_Karmaa	7
116	laron58	7
116	Powowowow	7
125	pintsizedrogue	6
125	dimondking777	6
125	CoffeeNoir	6
125	stevewithclout	6
125	ITDV	6
125	mattybeewrapss	6
125	ProfessorBee	6
125	yheece	6
125	Arceus1975	6
125	Mattesco	6
125	Samificator	6
125	LilLizardWizard	6
125	Ze_BaronKrigler	6
125	Enderxz3	6
125	Legendosh	6
140	q_wq	5
140	RebelAndroid	5
140	T045RTY	5
140	Prismyst	5
140	k1ngGilgamesh	5
140	MinerDec	5
140	Kim_Jong_eel	5
140	Nicky19	5
140	yulgur1	5
140	JESS_THE_RERE	5
140	Nycteus_	5
140	AltnumberF4	5
152	NinjaKnifeKill	4
152	CaracolCxnt	4
152	MinttyFressh	4
152	500am	4
152	Fullut	4
152	theonlymagikarp	4
152	Rebytre	4
152	Skylord_Luke	4
152	wrinkledpiglet	4
152	Akoot_	4
152	Trever101	4
152	ori0le	4
152	CheifJumbo	4
152	Kyrum2169	4
166	Apollo_993	3
166	Merv__	3
166	Jahara	3
166	SyntheticSurgeon	3
166	Natty	3
166	Ssor69	3
166	Awyrlas	3
166	JETrotter	3
166	Tyrannosplart	3
166	Dakar_	3
166	Fuad_R	3
166	EfficientC52	3
166	Xclax101	3
166	Kura2218	3
166	__tomato	3
166	2blox_	3
166	vandmanden	3
166	h2p_emrld	3
184	SugarMyNuggets	2
184	j5ylim	2
184	NatalieTW	2
184	Secret_Canary	2
184	Winklepicker279	2
184	longappendage	2
184	AJplaysMC_	2
184	hanaryheatwave	2
184	GreedyFern8581	2
184	AnnieBathory	2
184	The_Fulgurator	2
184	SvenskaSara	2
184	LilyNova	2
184	oscminus	2
184	LeGold	2
184	Maenara	2
184	Wowful	2
184	The_Quack_Dealer	2
184	DarkS0L	2
184	DarlaMeow	2
184	claivin	2
184	SingedBread	2
184	mihimihimihi	2
184	MovingFish7	2
184	geekbird	2
184	StarCookiees_	2
184	pixelviolin	2
