rank	username	minecraft:dropped/minecraft:magenta_terracotta
1	EcksD	168
2	thewindmillman	148
3	EMC_	65
4	Shogunite	64
5	lordpipe	51
6	Blu3beast	15
7	noam464	12
7	Di_infiri	12
9	mwrty	6
10	MakeHistory157	3
11	Merv__	2
11	eitanzaki	2
13	hm947	1
13	SvenskaHugo	1
