rank	username	minecraft:dropped/minecraft:glistering_melon_slice
1	noam464	2499
2	PigDab	576
3	kekhon	138
4	Akoot_	58
5	luseis	44
6	TechnoNinja64	32
7	Mahoose	27
8	DarlaMeow	21
9	stavgod	20
10	youhjjhhhjj	18
11	thewindmillman	15
12	SmashingPump	11
12	Winklepicker279	11
14	fanofbands101	10
14	RoofTyler	10
16	PhantomBionic	9
17	Lez_	8
17	surfinggiraffejp	8
17	Quaintster	8
20	pintsizedrogue	6
21	Gemstuff	5
22	Creativebuilder2	4
23	EMC_	3
23	NameGenerat0r	3
23	alderban107	3
26	Kyrum2169	2
27	eitanzaki	1
27	nattybears	1
27	KomputerDude	1
27	beeperbeeper5	1
27	IceYoung	1
27	corpsecity	1
27	zToasty69z	1
27	Tyrannosplart	1
27	Xclax101	1
