rank	username	minecraft:dropped/minecraft:netherite_chestplate
1	eitanzaki	67
2	rarrq	7
3	Nicky_H225	6
3	thewindmillman	6
5	fred870d	5
6	joethahobo	4
6	Akoot_	4
6	Wowful	4
6	Freak_Genius	4
6	SkateboardR6	4
11	Myszoaz	3
11	kekhon	3
11	Mobstr	3
11	LAVA129	3
11	PigDab	3
11	NomadicRobin_	3
11	Enderslayerxz3	3
18	Dedalus36	2
18	Wooptey	2
18	Mahoose	2
18	beeperbeeper5	2
18	Fullut	2
18	set67	2
18	Quaintster	2
18	Blaiku	2
18	YungMaki	2
18	aywri	2
18	Spenduh	2
18	jcool7	2
18	oxfordschool	2
18	MeetTheWollo	2
18	Smoke____	2
33	_Virify_	1
33	JohnnyFyes	1
33	_NieToksikpl_	1
33	KarlKaek	1
33	error10101	1
33	BlancoFlaco	1
33	T045RTY	1
33	CoffeeNoir	1
33	ShedJr_	1
33	Historical_Sand	1
33	Upstro10	1
33	Auseawesome	1
33	TheSecondLord	1
33	Kkanot	1
33	egglapras	1
33	mimbo1211	1
33	M_Patata	1
33	Chromary	1
33	WET_WET_WET	1
33	Snowflowe	1
33	ApophisNova	1
33	PuFY	1
33	HolyVenom	1
33	Lord_Jord	1
33	masskedman	1
33	DarlaMeow	1
33	Frozil12	1
33	the__Reaper4999	1
33	Racengan	1
33	Spacewardharpy7	1
33	lordpipe	1
33	MakeHistory157	1
33	Eraxa	1
33	Kowcio_	1
33	SammiWolfGirl	1
33	_Yonk_	1
33	cichy096	1
33	MyNamaSheff	1
33	jnp_gaming	1
33	PlasticOtari	1
33	EcksDofficial	1
