rank	username	minecraft:dropped/minecraft:diamond_ore
1	EcksD	431
2	joethahobo	242
3	Werbe	182
4	FreakGenius	153
5	eitanzaki	109
6	m_be9	96
7	ConnorDanky_	93
8	YungMaki	90
9	PigDab	83
10	Smoke____	76
11	Bumpy419	75
12	Jackattack53	73
13	hm947	64
13	SpaceGrenadier	64
13	Hyp3rion_	64
16	Mahoose	61
17	fr0stss	60
18	noam464	59
18	claivin	59
20	thescout7	58
21	NomadicRobin_	46
22	AltnumberF4	38
23	Blaiku	36
23	33sudo	36
25	Ezekson	34
26	Hisiste	29
27	xzvu	24
28	KingFaenor	23
29	anbbang	21
30	NatalieTW	18
30	Blackberry1310	18
32	gcaisawesome	17
32	Enderxz3	17
34	thewindmillman	16
34	ZA07	16
36	500am	15
37	CrateOfBoxes	14
37	Cyntrical	14
39	ImpavidArcher	13
39	mimbo1211	13
39	gusstationwerker	13
42	MightyWertu	12
43	Jij0	11
44	Tyrannosplart	10
45	ssleepless	9
45	whoaluv	9
45	lordpipe	9
45	Kura2218	9
49	_Virify_	8
49	Frozil20	8
49	kaziroki	8
49	F_Uhre	8
49	RealGroot	8
49	Skippeh	8
49	aao001	8
56	Historical_Sand	7
56	MangoTheFish	7
56	Eczbek	7
56	FelixPSY375	7
56	PlasticOtari	7
61	mattybeewrapss	6
61	Kakolbus	6
61	HellsSponge	6
64	jushykins	5
64	burbankbuilder28	5
64	pappaberg	5
64	EveryonesUncle	5
64	Spacewardharpy7	5
69	TheMilkerOfCats	4
69	Scathra	4
69	Lord_Jord	4
69	Deodorante	4
69	Blu3beast	4
69	Groundler	4
69	pixelviolin	4
69	little_dUki	4
69	FishisTTV	4
78	T045RTY	3
78	beeperbeeper5	3
78	QuiCreans	3
78	kekhon	3
78	set67	3
78	M_Patata	3
78	Di_infiri	3
78	Rebytre	3
78	Sheellky	3
78	Fuad_R	3
78	MasterNueve	3
89	PhantomsGhost_	2
89	Merv__	2
89	diamondgolem35	2
89	Rasmanden	2
89	TheEnderMan548	2
94	pintsizedrogue	1
94	dabloons	1
94	pZygh0st	1
94	SmashingPump	1
94	Fullut	1
94	Hanselhoof	1
94	benediktine1	1
94	ApophisNova	1
94	RobotMinion101	1
94	Smussa	1
94	iElijah	1
94	738b4f65-6cbd-4ead-ba31-c14211abfb06	1
94	fxiryglitch	1
94	Akoot_	1
94	mihimihimihi	1
94	Razzgriz	1
94	KingMatthew506	1
94	Steelynan	1
94	Iamthejo	1
94	Creeper_ez	1
94	MyNamaSheff	1
