rank	username	minecraft:dropped/minecraft:green_banner
1	beeperbeeper5	35
2	Werbe	28
3	joethahobo	16
4	Huwulling	13
5	k_ce	12
6	Lez_	11
7	Lord_Jord	10
8	noam464	9
9	luseis	8
10	_Dean_123	6
11	lorywithay	5
11	Historical_Sand	5
11	Kakolbus	5
11	Buuck_	5
15	eitanzaki	4
15	YungMaki	4
15	CalebDHawk	4
18	Akoot_	2
18	lordpipe	2
20	Merv__	1
20	Mahoose	1
20	TheSecondLord	1
20	kekhon	1
20	Chromary	1
20	Arceus1975	1
20	Krowuss	1
20	Ilyaskand	1
20	Skylord_Luke	1
20	ScootOfBoot	1
20	goldyx	1
20	AlexxO_o	1
20	Fuad_R	1
20	StinkyDiplomat	1
20	pretty_pink_reno	1
20	LazySupport00	1
20	StarCookiees_	1
20	Eraxa	1
20	SammiWolfGirl	1
20	jnp_gaming	1
20	Jimb0nat0r	1
