rank	username	minecraft:dropped/minecraft:cracked_deepslate_bricks
1	TheBananaKat	129
2	mihimihimihi	114
3	PazinGaming	38
4	ECstardust	5
4	beeperbeeper5	5
4	Hyp3rion_	5
4	SvenskaHugo	5
8	ImpavidArcher	4
8	TheSecondLord	4
10	Sleepy_Time_	3
11	SmashingPump	2
11	ScootOfBoot	2
13	thewindmillman	1
13	Spacewardharpy7	1
