rank	username	minecraft:dropped/minecraft:glow_lichen
1	thewindmillman	49293
2	SpacesickPrism	389
3	luseis	219
4	pintsizedrogue	192
5	AdmiralSmoke	127
6	Jimb0nat0r	96
7	EcksD	91
8	beeperbeeper5	86
9	EMC_	64
10	Manaateee	50
11	Huwulling	47
12	pixelviolin	39
13	Spacewardharpy7	38
14	PlasticOtari	34
15	H0UNDFRMH3LL	26
16	TheBananaKat	20
17	lunathelemon	18
18	ImpavidArcher	17
19	PazinGaming	16
20	shadowthemonkey	7
21	noam464	5
22	TemoraScorpendra	2
22	Blackberry1310	2
22	PixelatedBoss	2
25	RatatJuice	1
25	cubecutter124	1
25	Dakar_	1
