rank	username	minecraft:dropped/minecraft:yellow_stained_glass_pane
1	Kowcio_	258
2	BlueZabu	191
3	Onennon	62
4	lordpipe	42
5	EcksD	37
6	TheSecondLord	16
6	FreakGenius	16
6	PlasticOtari	16
9	wTXop	12
10	RobotMinion101	10
11	blackmage426	8
12	redikul	7
12	noam464	7
12	Soplight	7
12	SSytex_X	7
16	beeperbeeper5	5
16	gabriels543	5
18	thescout7	3
18	masskedman	3
20	kekhon	2
20	jnp_gaming	2
22	EMC_	1
22	eitanzaki	1
22	Lez_	1
22	_Dean_123	1
22	gloryoftherain	1
22	Tyrannosplart	1
22	Blaiku	1
22	aubergined	1
