rank	username	minecraft:dropped/minecraft:cherry_sapling
1	Hyp3rion_	4317
2	FiguraDei	995
3	Manaateee	814
4	Kowcio_	771
5	Lez_	712
6	lordpipe	469
7	skitzxo	362
8	SpacesickPrism	278
9	12Magner05	104
10	Jackattack53	95
11	StarCookiees_	64
12	Krowuss	62
13	pretty_pink_reno	36
14	Sleepy_Evelyn	34
15	ImpavidArcher	32
16	noam464	30
17	k_ce	23
18	Apollo_993	22
19	Merv__	14
19	EveryonesUncle	14
21	beeperbeeper5	10
22	TheWickedBird	9
23	SteveCraftBlocks	7
23	Reneedium	7
25	Fullbit_	6
26	Mr_Byzantine	5
27	Strats__	4
27	Moofyman	4
27	Steelynan	4
30	lorywithay	3
30	Archsam	3
32	pintsizedrogue	2
32	Hahaa_0	2
34	Frigzy_	1
34	_Huge_Male_	1
34	Alteriity	1
34	Werbe	1
34	luseis	1
34	MsFemboy	1
