rank	username	minecraft:dropped/minecraft:golden_pickaxe
1	ConnorDanky_	19
2	Chuglyfe	7
3	_i_ERROR_i_	4
3	Ezekson	4
5	Poliitikko	2
5	mymayowasgone	2
5	iElijahi	2
5	royal_2	2
5	mwrty	2
5	M_Patata	2
5	burbankbuilder28	2
5	Qorbyn	2
5	non089	2
5	00000000-0000-0000-0009-01fa5d833510	2
15	ECstardust	1
15	ImpavidArcher	1
15	Wooptey	1
15	RebelAndroid	1
15	lotarp	1
15	NinjaKnifeKill	1
15	joethahobo	1
15	rarrq	1
15	kekhon	1
15	TheRealGameBoy24	1
15	Fullbit_	1
15	ROY4LE	1
15	__TheNorseMan__	1
15	Glowhetic	1
15	RIPB0ZO	1
15	Winklepicker279	1
15	Jackattack53	1
15	thewindmillman	1
15	Aakvaa	1
15	Mattesco	1
15	Renewability	1
15	PigDab	1
15	Syropatathe	1
15	Manaateee	1
15	FreakGenius	1
15	Gus2005	1
15	halfbakedlasagna	1
15	Toriankel	1
15	mihimihimihi	1
15	JosephCW	1
15	verynothing	1
15	Segotep999	1
15	ediballbearings	1
15	11Brewer	1
15	Nicserso	1
15	00000000-0000-0000-0009-01ff0c3e5e4f	1
15	00000000-0000-0000-0009-01f53dff86f7	1
