rank	username	minecraft:dropped/minecraft:red_terracotta
1	thewindmillman	82416
2	Frozil20	926
3	ConnorDanky_	778
4	NomadicRobin_	576
5	Hyp3rion_	528
6	FreakGenius	303
7	Akoot_	294
8	MovingFish7	224
9	noam464	215
10	JoCoLi	206
11	EcksD	168
12	Kowcio_	165
13	Hahaa_0	155
14	eitanzaki	153
15	AspenLightVT	133
16	ImpavidArcher	131
17	AuroraValkyrie	128
17	SDMNAEK	128
17	diggydog67	128
20	EMC_	115
21	gcaisawesome	111
22	set67	103
23	mariominejedi	93
24	mwrty	90
24	lordpipe	90
24	MilleGrug	90
24	KingMatthew506	90
28	NameGenerat0r	86
29	fanofbands101	82
29	tuckerdoodle	82
31	Huwulling	81
32	TechnoNinja64	76
33	Parcc	75
34	Swexti	74
35	Onennon	72
36	Rumpletaezer	71
37	Sral7	68
38	Shogunite	65
39	Jindong	64
39	joethahobo	64
39	rarrq	64
39	Hoid_the_Roamer	64
43	kekhon	60
44	SvenskaHugo	56
45	Blackberry1310	50
45	ProfessorBee	50
47	Spacewardharpy7	47
48	beeperbeeper5	43
49	annebolyn	40
50	YungMaki	37
51	Krowuss	34
52	elliebelle107	33
53	skitzxo	32
54	TheSecondLord	31
54	ooga47	31
56	Alteriity	29
56	yheece	29
58	ElKaySVK	28
59	Kamflame	25
59	KingEgg1	25
61	Jackattack53	22
61	oscminus	22
61	TheSandwhich_	22
64	Blaiku	18
65	Secret_Canary	16
65	Soplight	16
65	jnp_gaming	16
68	Deodorante	15
68	MightyWertu	15
70	ApophisNova	14
70	MyNamaSheff	14
72	Eraza	13
72	crashomon	13
74	Nyxiom_	12
74	Enderxz3	12
76	ChocolatePepsi	10
77	fade_emerge78823	9
77	Benzito07	9
77	fluddd	9
80	xvphmura	8
80	MoistMicrowave	8
80	Archsam	8
80	Kakolbus	8
80	Steelynan	8
80	Nicserso	8
86	301851	6
86	Di_infiri	6
86	Skylord_Luke	6
86	Jimb0nat0r	6
90	Jovaphobic	5
90	elicobnoah	5
90	Merv__	5
90	SuperPooch06	5
90	TheShyPig	5
90	pretty_pink_reno	5
96	Roenfire	4
96	MyNameIsJobo	4
96	ougstur	4
96	luseis	4
96	Tyrannosplart	4
96	MAns_44	4
96	Racengan	4
96	Weepingbiel	4
96	PlasticOtari	4
105	Groovy_MoonBird	3
105	ECstardust	3
105	Avocadogerms	3
105	djancak	3
105	__tomato	3
105	TheWickedBird	3
111	DepressedCubic	2
111	ZaneABrain	2
111	Saucepeh	2
111	Sleepy_Evelyn	2
111	500am	2
111	natajimi	2
111	Blu3beast	2
111	hermmm_	2
111	Yamdalorian	2
120	peachfuzz1267	1
120	_Huge_Male_	1
120	Apollo_993	1
120	PhantomsGhost_	1
120	SmashingPump	1
120	Sabby65	1
120	RebelAndroid	1
120	SOA1RR	1
120	Mahoose	1
120	Lez_	1
120	4774	1
120	thescout7	1
120	SellyZ	1
120	xxPipperDipperxx	1
120	theonlymagikarp	1
120	ImDisconnected_	1
120	Bumpy419	1
120	RebytreGT	1
120	Mattesco	1
120	epiksk8erduck	1
120	EveryonesUncle	1
120	_Ruzeeq_	1
120	ediballbearings	1
120	Skippeh	1
