rank	username	minecraft:dropped/minecraft:polished_diorite
1	Akoot_	1046
2	Werbe	897
3	beeperbeeper5	720
4	TechnoNinja64	704
5	EcksD	641
6	Xclax101	636
7	Froste131	528
8	NatalieTW	480
9	12Magner05	418
10	Hyp3rion_	368
11	lordpipe	330
12	Tyrannosplart	308
13	brofrickcheaters	274
14	Di_infiri	260
15	kars0n	256
16	noam464	239
17	Kakolbus	235
18	weabis	204
19	AuroraValkyrie	193
20	AltnumberF4	186
21	RedcatVII	184
22	bpmm	164
23	ProbsNotNova	153
24	FlagsAreBad	150
24	AdmiralSmoke	150
26	kekhon	145
27	TheWildMateo	144
27	MightyWertu	144
29	HellsSponge	140
30	BPTY4618	128
31	sp00ky_ghost977	101
32	burbankbuilder28	97
33	Yahrto	96
34	eitanzaki	82
35	Skylord_Luke	80
36	benediktine1	75
37	Powowowow	72
38	Lord_Jord	67
39	AlexxO_o	64
39	El_Jalapeno	64
39	Steelynan	64
39	Vellu21	64
39	Quotary	64
39	SirDodgyBob	64
45	Frozil20	62
46	Ssor69	60
47	CuzIm2Kev	53
48	Jimb0nat0r	52
49	Malorn_Aetherius	50
49	Blackberry1310	50
49	Tiberonus	50
49	Xalithia	50
53	seanitoo	49
54	ProfessorBee	46
55	ImpavidArcher	45
55	Blu3beast	45
57	Krowuss	41
58	seramalen	40
58	MinerDec	40
60	GravitySaint	38
61	lillips	36
62	jedi_george	35
63	luseis	32
63	Nicserso	32
65	set67	29
65	JETrotter	29
67	Bandito_Roamer	28
67	AnnieBathory	28
69	ROY4LE	27
70	q_wq	24
70	RustyKedel	24
72	NameGenerat0r	21
72	FreakGenius	21
72	ConnorDanky_	21
75	rarrq	20
76	fluddd	18
77	Bumpy419	17
77	Groundler	17
77	Teebone15	17
80	SquadMonster	16
81	Shiirazu	15
81	Choco_Spy	15
83	Inbefour	14
84	Dreamdbr14	12
85	Fullut	10
85	SkateboardR6	10
87	DermeinUser	8
87	fkGrim	8
87	KingMatthew506	8
90	joethahobo	7
90	Smashic	7
90	Toriankel	7
90	Optiprimus	7
94	crying_wolf_13	6
94	Invisie	6
94	DarlaMeow	6
94	Njensen7	6
98	Alteriity	5
98	H72l9w	5
98	NotMeanttoChange	5
98	BlueZabu	5
98	PigDab	5
98	07shiny	5
98	JayToe	5
105	_Huge_Male_	4
105	Mahoose	4
105	_Nuf	4
105	thescout7	4
105	F_Uhre	4
105	LilLizardWizard	4
105	stavgod	4
105	djancak	4
105	PortlyPete69	4
105	Sheldor097	4
105	EngagedGrub41	4
105	Legendosh	4
105	xolstoi	4
118	Comma__	3
118	Muffindrake	3
118	ApophisNova	3
118	avalan64	3
118	MyNamaSheff	3
118	vandmanden	3
124	Groovy_MoonBird	2
124	PhantomsGhost_	2
124	TildaAndrea	2
124	BlancoFlaco	2
124	Nach0Bear	2
124	Hiryu27	2
124	Onennon	2
124	bearlystraight	2
124	EveryonesUncle	2
124	handsome_strong	2
124	DemTechAlpha	2
124	JESS_THE_RERE	2
124	Warlord324	2
124	BlankityMcBlank	2
124	starbits140	2
124	Soplight	2
124	jcool7	2
124	alderban107	2
124	Ezekson	2
124	PlasticOtari	2
124	skrongus	2
145	pintsizedrogue	1
145	Mr_Byzantine	1
145	Cowison	1
145	PazinGaming	1
145	I_Am_Mushkin	1
145	SaucyDark	1
145	CoffeeNoir	1
145	ShedJr_	1
145	500am	1
145	lorpus	1
145	drunkeeez	1
145	Arsinic7	1
145	Doom_melon	1
145	TheShyPig	1
145	ougstur	1
145	Elastiq	1
145	cog	1
145	Racengan	1
145	Airem_Core	1
145	monky_irl	1
145	WyngGoy	1
145	bruh072	1
145	Eraxa	1
145	carbo_bro	1
145	TheEnderMan548	1
145	tsitrawhy	1
145	Spenduh	1
145	VentiHilton	1
145	camando92	1
