rank	username	minecraft:dropped/minecraft:jungle_door
1	TheDankPlatypus	10
1	Freak_Genius	10
1	oxfordschool	10
4	chrolus	9
5	RoskobiOne	7
6	_Nuf	6
6	Hyp3rion_	6
8	eitanzaki	4
8	WarMachina	4
8	Xclax101	4
8	SvenskaHugo	4
12	Merv__	3
12	ImpavidArcher	3
12	LilLizardWizard	3
12	Kferno	3
12	PlasticOtari	3
17	_Virify_	2
17	Vizzoid	2
17	Blackberry1310	2
17	Xalithia	2
17	thewindmillman	2
17	BronkerBrum	2
17	Skylord_Luke	2
17	Leyna3	2
17	Frozil12	2
17	WyngGoy	2
17	SammiWolfGirl	2
17	_TCARREIRA_	2
17	Hermanni__	2
30	Groovy_MoonBird	1
30	Mowelan	1
30	Sabby65	1
30	CoffeeNoir	1
30	ShedJr_	1
30	Swexti	1
30	Howertt	1
30	PegLegPete93	1
30	gcaisawesome	1
30	noam464	1
30	Kubelz	1
30	Werbe	1
30	EveryonesUncle	1
30	chipklip	1
30	EfficientC52	1
30	MovingFish7	1
30	alderban107	1
30	EcksD	1
