rank	username	minecraft:dropped/minecraft:deepslate_brick_wall
1	noam464	64
2	LeEricc	12
3	thewindmillman	3
4	Mr_Byzantine	2
4	TheWildMateo	2
4	weabis	2
7	ImpavidArcher	1
7	Huwulling	1
7	Mahoose	1
7	fade_emerge78823	1
7	Kakolbus	1
7	lillips	1
