rank	username	minecraft:dropped/minecraft:beacon
1	noam464	2826
2	Hyp3rion_	205
3	Blaiku	140
4	Frozil20	129
5	RealGroot	87
6	Spacewardharpy7	73
7	MattieHD	66
8	00000000-0000-0000-0009-01f7d5721bcd	64
9	eitanzaki	54
10	EcksD	48
11	ATLDON	45
12	thewindmillman	34
13	Mythic1130	33
14	thescout7	28
15	gusstationwerker	26
16	joethahobo	25
17	Lez_	23
18	FreakGenius	20
19	PigDab	19
20	Kowcio_	16
21	YungMaki	12
22	Tyrannosplart	11
22	HellsSponge	11
24	lillips	9
25	Incinere	8
25	kekhon	8
25	Hoshi	8
25	Werbe	8
25	AlexxO_o	8
25	fffMike	8
25	Ezekson	8
25	TechnoNinja64	8
33	SoosAmongus	7
33	Mahoose	7
33	mwrty	7
33	Jonafrog99	7
33	fw3xywashere	7
33	weabis	7
33	GlitchyPlate810	7
33	ConnorDanky_	7
41	teslawolf38	6
41	beeperbeeper5	6
41	Fuad_R	6
41	501g	6
41	OffWithTheirHead	6
41	lordpipe	6
41	xzvu	6
48	NomadicRobin_	5
48	luseis	5
48	YungWali	5
48	sadvavilloso	5
48	Kyrum2169	5
48	SammiWolfGirl	5
48	vandmanden	5
48	PlasticOtari	5
56	SmashingPump	4
56	I_Am_Mushkin	4
56	LionelHutzESQ	4
56	Blackberry1310	4
56	r123moore	4
56	Corbsman	4
56	Elastiq	4
56	bladeefan2009	4
56	FishisTTV	4
65	PhantomsGhost_	3
65	EMC_	3
65	ThiccExotic	3
65	rarrq	3
65	_Dean_123	3
65	xxPipperDipperxx	3
65	Jackattack53	3
65	issazumi	3
65	d4mndaniel2	3
65	IamCL4SSY	3
65	Wowful	3
65	EveryonesUncle	3
65	fluddd	3
65	alderban107	3
65	Enderxz3	3
65	jnp_gaming	3
65	Jimb0nat0r	3
82	Groovy_MoonBird	2
82	CadenSteele	2
82	Merv__	2
82	Killercatty78	2
82	Alteriity	2
82	Huwulling	2
82	jessewegottacook	2
82	Da_Boss_Rani	2
82	ccwildfire1	2
82	catandmoose	2
82	500am	2
82	Awyrlas	2
82	PegLegPete93	2
82	gcaisawesome	2
82	Covalents	2
82	gabriels543	2
82	Di_infiri	2
82	Snowflowe	2
82	Hiryu27	2
82	TheWildMateo	2
82	F_Uhre	2
82	Sqwishy	2
82	Huic_ostiarius	2
82	Luminad3	2
82	fkGrim	2
82	Blu3beast	2
82	TheTommyGun63	2
82	Strangemonkey71	2
82	SC0RCHEDD	2
82	PortlyPete69	2
82	SkinnyBois	2
82	Dogcorn69420	2
82	jcool7	2
82	_Dri_	2
116	pintsizedrogue	1
116	MuffinManzz	1
116	Bandito_Roamer	1
116	NatalieTW	1
116	soundad	1
116	PazinGaming	1
116	diamondgolem35	1
116	bigstankyy	1
116	Esme_1	1
116	Bad_At_Names_Guy	1
116	TooManyDuck	1
116	BoraMC	1
116	SyntheticSurgeon	1
116	lotarp	1
116	Myszoaz	1
116	QuiCreans	1
116	TheSecondLord	1
116	dawerty	1
116	bloodbiter	1
116	12Magner05	1
116	pr33tu	1
116	Secret_Canary	1
116	boog4loo	1
116	TwinkBreeder	1
116	set67	1
116	UncreativeArtist	1
116	Inchef	1
116	Mewar	1
116	ROY4LE	1
116	TheDankPlatypus	1
116	Kakolbus	1
116	shadowthemonkey	1
116	Marbz_	1
116	Norrhede	1
116	Chromary	1
116	WET_WET_WET	1
116	burbankbuilder28	1
116	0Vyp_	1
116	Bumpy419	1
116	k1ngGilgamesh	1
116	Dennid	1
116	Lord_Jord	1
116	Fakiuss	1
116	the_russell1611	1
116	The_slideV3	1
116	claivin	1
116	ProfessorDiaper	1
116	Warlord324	1
116	Jahbouris	1
116	Hisiste	1
116	NotMeowMix	1
116	MakeHistory157	1
116	stavgod	1
116	MineMaster0012	1
116	Soplight	1
116	Luigipunch989	1
116	ProbsNotNova	1
116	Sheldor097	1
116	Steelynan	1
116	Kubeusz2010	1
116	Skippeh	1
116	cichy096	1
116	HesDemonPants	1
116	JustinRee	1
116	Zoeyfortnite	1
116	xolstoi	1
116	Smoke____	1
116	Freedrik	1
