rank	username	minecraft:dropped/minecraft:stripped_oak_wood
1	PlasticOtari	64
2	PigDab	19
2	Spenduh	19
4	noam464	7
5	KamFurnace	6
6	SammiWolfGirl	4
7	ImpavidArcher	3
7	Skylord_Luke	3
7	lordpipe	3
10	PazinGaming	2
10	jessewegottacook	2
10	Frxnkz	2
10	Onennon	2
14	Louiis123	1
14	j5ylim	1
14	Alteriity	1
14	oreee	1
14	beeperbeeper5	1
14	rarrq	1
14	Secret_Canary	1
14	Smashic	1
14	excelsionprime	1
14	emrekn	1
14	xxPipperDipperxx	1
14	ImDisconnected_	1
14	Hyp3rion_	1
14	Bumpy419	1
14	Rebytre	1
14	AlexxO_o	1
14	ougstur	1
14	Dan_Scha	1
14	GooseWithin	1
14	EveryonesUncle	1
14	Spacewardharpy7	1
14	AdmiralSmoke	1
