rank	username	minecraft:dropped/minecraft:melon_slice
1	noam464	339501
2	Frozil12	87912
3	pixelviolin	85398
4	thewindmillman	81281
5	Blaiku	30158
6	eitanzaki	23243
7	Freak_Genius	19374
8	Soplight	12066
9	Spacewardharpy7	9543
10	lordpipe	8019
11	lillips	7640
12	SteveCraftBlocks	6607
13	PigDab	6123
14	diamondgolem35	5888
15	Hermanni__	5016
16	beeperbeeper5	2879
17	El_Jalapeno	2783
18	HellsSponge	2130
19	fw3xywashere	2058
20	jcool7	1932
21	Di_infiri	1640
22	Blackberry1310	1628
23	TechnoNinja64	1558
24	thescout7	1543
25	ZaneABrain	1106
26	_Bguette_	1017
27	Incinere	979
28	Werbe	908
29	Jiminie	802
30	kekhon	784
30	Hyp3rion_	784
32	m_be9	783
33	Mahoose	771
34	Steelynan	717
35	The_slideV3	712
36	NameGenerat0r	676
37	I_Am_Mushkin	629
38	Sky_light_KING	615
39	MightyWertu	524
40	Smoke____	492
41	joethahobo	476
42	PhantomsGhost_	475
43	sammidk	471
44	SaucyDark	461
45	surfinggiraffejp	442
46	YungMaki	434
47	T045RTY	430
48	FishisTTV	428
49	LilyNova	399
50	Marbz_	384
50	Rumpletaezer	384
52	slkiey	348
53	ImpavidArcher	325
54	Akoot_	323
55	6king6colt6	321
56	PortlyPete69	301
57	Fullut	300
58	Kakolbus	292
59	Hiryu27	273
60	Quotary	262
61	stahouo	242
62	chipklip	241
63	kinas45y5	227
64	Eraxa	219
65	ProfessorBee	216
66	pintsizedrogue	201
67	rarrq	193
67	videogames_	193
69	SwiftyPlayz__	192
70	Hisiste	188
70	Faart	188
72	gonnagecha	187
73	erkada	169
74	KarlKaek	165
74	Warlord324	165
76	lcvezra	160
77	Sheldor097	159
78	ese_wn_po	153
78	Blu3beast	153
80	Inbefour	151
81	Kyrum2169	147
82	Enderslayerxz3	146
83	SexcMf	141
84	q_wq	140
85	alderban107	131
86	SourPapaSmurf	129
87	Spenduh	128
87	Earlesstrain4	128
87	h2p_emrld	128
90	EveryonesUncle	120
91	Comma__	114
92	Xclax101	111
93	groofles	107
94	mimbo1211	101
95	vandmanden	99
96	DarlaMeow	92
97	TheSecondLord	84
98	intropass	83
99	fred870d	80
100	Zoeyfortnite	79
101	BobDeBouwer1337	78
102	Negriuke	76
103	carloselpapii	74
103	oxfordschool	74
105	KingMatthew506	73
106	SammiWolfGirl	72
107	dudcreeper	71
108	Snowflowe	70
109	Lord_Jord	69
109	MeetTheWollo	69
111	UrbanPlanner1978	68
112	AlphaWolfPlaysMC	67
113	wiqor	66
113	Haadrada	66
115	EMC_	64
115	aj3512	64
115	MattieHD	64
115	curterr	64
115	Dan_Scha	64
115	m9_meltdown_	64
115	PlzNoBM	64
115	Nicserso	64
115	2blox	64
124	NomadicRobin_	63
125	Furiuosbeast0404	62
126	Onennon	61
126	silverpopcorn	61
128	JapansDragon	60
129	Stright_	59
130	Zipdrip	58
131	Swexti	57
131	geekbird	57
133	titanlax	54
133	Nekomin0	54
135	BoraMC	53
135	EcksD	53
137	Skippeh	52
138	Groovy_MoonBird	51
139	FirsTimeGamingTV	49
140	Drlzyy	46
140	BungalowBeet	46
142	Goat_Man512	40
143	TildaAndrea	39
144	_naturell	38
145	Resner	37
145	0nly_sn1per	37
145	Zythose	37
148	Jackattack53	36
148	ToastedGamingYT	36
150	Reamdin	35
151	Leyna3	34
151	KingJamBanana1	34
153	Meatlaugh	33
153	Toriankel	33
153	Nagasaki_Riku	33
156	Dedalus36	32
156	lia1337owo	32
156	GreedyFern8581	32
156	izzybearh	32
160	RebelAndroid	31
161	Ezekson	30
162	Houstonion	29
163	moonman169	28
163	CasperHxly	28
163	LordAurum	28
163	HesDemonPants	28
167	CoffeeNoir	27
167	__tomato	27
169	MovingFish7	26
170	NatrixxddxYT	25
171	_Nuf	22
171	Zetsey	22
171	EcksDofficial	22
174	dabloons	21
174	Winklepicker279	21
174	Leithz6	21
177	Corbsman	20
177	SkateboardR6	20
179	fluddd	18
179	IAmTheWalrus910	18
179	Strangemonkey71	18
179	ProbsNotNova	18
183	jnp_gaming	17
184	Bandito_Roamer	16
184	Drewen24	16
184	__Auspicious	16
187	Nach0Bear	15
187	Chromary	15
187	Soul_Atreus	15
190	G1ldor	14
190	SuperPooch06	14
192	_Minnty_	11
192	xo_Marren_xo	11
192	thechoosenone69	11
195	openatheclose	10
195	ShedJr_	10
195	12Magner05	10
195	Keeogwi	10
199	H72l9w	9
199	fade_emerge78823	9
199	Ripleey	9
199	Factoroni	9
199	Sral7	9
204	Killercatty78	8
204	Rich_Kat	8
204	Diavri	8
204	XxCookiequeenxX	8
204	proxivitoid	8
209	ItsColin11	7
209	bigstankyy	7
209	Hpdinosaur	7
209	Ssor69	7
209	Xalithia	7
209	Aerqophs	7
209	ApophisNova	7
209	the_russell1611	7
209	brofrickcheaters	7
209	Dogcorn69420	7
209	fffMike	7
209	OfficerAnvil	7
209	MyNamaSheff	7
209	diggydog67	7
223	epiksk8erduck	6
223	Ender_Souls	6
223	Luminad3	6
223	masskedman	6
223	claivin	6
223	Rainaldus	6
229	Crowvens	5
229	Ze1ig	5
229	AdvertisingMerc	5
229	redikul	5
229	Voxin2K	5
229	Titani_cus	5
229	KeruNatsema	5
229	Wowful	5
229	Ragnar2105	5
229	toos1esl1de	5
229	ElectricDragon81	5
229	PlasticOtari	5
241	jimintyy	4
241	Alteriity	4
241	gaziter10	4
241	SquadMonster	4
241	Motsaro	4
241	xxPipperDipperxx	4
241	Touched_Bread	4
241	WET_WET_WET	4
241	SokaOtaku	4
241	ItsAki_	4
241	ooga47	4
241	Babushka0430	4
241	Quaintster	4
241	tsitrawhy	4
241	calamariclam_I	4
256	AuroraValkyrie	3
256	BodaciousCake	3
256	Sparky_KT	3
256	niinii	3
256	SellyZ	3
256	Aiko_Kawashima	3
256	Norrhede	3
256	cedric72	3
256	victorLIE	3
256	Nycteus_	3
256	coobert42	3
267	AES784	2
267	GingerNeutron	2
267	ROY4LE	2
267	r123moore	2
267	Bolete	2
267	fallingemma	2
267	Racengan	2
267	HAruSAme14	2
267	CalebDHawk	2
267	Cheez1	2
267	FGamerJ	2
278	_stets	1
278	JohnnyMines	1
278	Bad_At_Names_Guy	1
278	Schwarz323	1
278	Zippyzam	1
278	imNP	1
278	NoHaHeHa	1
278	CantinaTaco	1
278	Howertt	1
278	InfernalMound	1
278	roxycherry	1
278	Cryptacity	1
278	plowingmonkey	1
278	theonlymagikarp	1
278	Covalents	1
278	IceYoung	1
278	Zaridey	1
278	nitram49b	1
278	_8man	1
278	impossibleteapot	1
278	andy_rex	1
278	Mpkkiller	1
278	RobotMinion101	1
