rank	username	minecraft:dropped/minecraft:brick
1	thewindmillman	65823
2	Krowuss	20548
3	Hyp3rion_	20097
4	EcksD	7442
5	eitanzaki	2574
6	RebelAndroid	1474
7	Tyrannosplart	1072
8	lordpipe	1064
9	beeperbeeper5	858
10	FreakGenius	805
11	_Virify_	740
12	Corbsman	720
13	Di_infiri	522
14	noam464	462
15	Frozil20	385
16	Jackattack53	336
17	CaptainDeadBread	312
18	ECstardust	300
19	Comma__	288
20	Smashic	275
21	Shin69	220
22	ConnorDanky_	202
23	pintsizedrogue	197
24	AdmiralSmoke	165
25	Elastiq	164
26	lillips	127
27	Alteriity	126
28	pixelviolin	124
29	Skylord_Luke	116
30	UCP_TheKingK	114
31	fade_emerge78823	113
32	Werbe	96
33	TechnoNinja64	92
34	Zoeyfortnite	80
35	_Huge_Male_	75
36	kekhon	67
37	Historical_Sand	65
37	12Magner05	65
39	Legendosh	64
40	DarlaMeow	56
40	tsitrawhy	56
42	Akoot_	53
43	xzvu	48
44	ougstur	44
45	Huwulling	42
45	Kokeech	42
47	StarCookiees_	41
48	Blackberry1310	39
49	Inbefour	32
49	HellsSponge	32
49	BumbleBeever	32
52	Mahoose	31
53	AlexxO_o	30
54	I_Am_Mushkin	29
54	Covalents	29
56	EMC_	26
56	luseis	26
58	SyntheticSurgeon	22
58	Saucepeh	22
58	Spacewardharpy7	22
61	surfinggiraffejp	21
62	Nicserso	17
63	hanaryheatwave	16
63	fluddd	16
65	k_ce	15
65	TheSecondLord	15
65	EveryonesUncle	15
65	AltnumberF4	15
65	skrongus	15
70	Kowcio_	13
71	Mr_Byzantine	11
71	YungMaki	11
73	SvenskaHugo	9
74	6king6colt6	8
74	_Dean_123	8
74	SvenskaAlvar	8
74	Xclax101	8
74	Steelynan	8
79	Ryan_GEMS	7
79	dartwaffle	7
79	Jimb0nat0r	7
82	Hpdinosaur	6
82	Blaiku	6
84	parodypatient	5
84	Manaateee	5
84	KermitTheKripple	5
84	_Mythic____	5
84	Soplight	5
84	SammiWolfGirl	5
90	fallingemma	4
90	shadowthemonkey	4
90	ApophisNova	4
90	Mattesco	4
90	wobn	4
90	shrimp_flips	4
90	Blu3beast	4
90	AssassinAshton	4
90	Eraxa	4
90	djancak	4
90	MyNamaSheff	4
90	jnp_gaming	4
102	PazinGaming	3
102	Merv__	3
102	Lez_	3
102	Crowman1	3
102	drunkeeez	3
102	mariominejedi	3
102	xambsam	3
102	yaboo88	3
102	burbankbuilder28	3
102	Afinnity	3
102	groofles	3
102	fkGrim	3
102	JESS_THE_RERE	3
102	Dakar_	3
102	weabis	3
102	Enderxz3	3
102	xolstoi	3
119	Thaumatarge	2
119	Archsam	2
119	Cryptacity	2
119	Fullut	2
119	Xalithia	2
119	0Vyp_	2
119	JETrotter	2
119	thgrocks	2
119	fw3xy74	2
119	NameGenerat0r	2
119	MovingFish7	2
119	iSammael	2
119	MineMaster0012	2
119	lcvezra	2
119	CalebDHawk	2
119	00000000-0000-0000-0009-01f16526f034	2
135	Groovy_MoonBird	1
135	Bandito_Roamer	1
135	Paint	1
135	KarlKaek	1
135	joethahobo	1
135	Luna_Rosie	1
135	Pofen	1
135	rarrq	1
135	shdesolt	1
135	SteveCraftBlocks	1
135	himak1	1
135	Pineapplesugr	1
135	BlueZabu	1
135	thatbeanyboi	1
135	Snowflowe	1
135	oscminus	1
135	Onennon	1
135	LeGold	1
135	Luminad3	1
135	ogoa	1
135	NomadicRobin_	1
135	Sorry_Arey	1
135	DarkS0L	1
135	Fuad_R	1
135	Quaintster	1
135	GravitySaint	1
135	mihimihimihi	1
135	babyjimmyneutron	1
135	layabout100	1
135	bloomkieren	1
135	Segotep999	1
135	SSytex_X	1
135	Winston_Ingram	1
135	Hermanni__	1
135	Ezekson	1
135	MrMeisterProper	1
135	PlasticOtari	1
135	Teebone15	1
135	JohnPrice	1
135	FishisTTV	1
