rank	username	minecraft:dropped/minecraft:copper_ore
1	RoofTyler	570
2	RealGroot	228
3	thewindmillman	219
4	Spacewardharpy7	158
5	non089	148
6	mihimihimihi	136
7	12Magner05	121
8	Fuad_R	114
9	Lez_	92
10	EcksD	87
11	MilleGrug	86
12	Ezekson	69
13	EMC_	64
14	Jackattack53	61
15	Skylord_Luke	57
16	TheSecondLord	46
16	Hermanni__	46
18	Hyp3rion_	45
19	SuperPooch06	43
20	ITDV	35
21	luseis	32
22	noam464	30
23	Mahoose	28
24	tuckerdoodle	26
24	Kowcio_	26
26	Smashic	24
27	groofles	23
28	beeperbeeper5	20
29	RoskobiOne	17
30	Inchef	16
30	Rebytre	16
32	SvenskaHugo	15
33	NomadicRobin_	14
34	BronkerBrum	12
35	2bolx_	10
36	PazinGaming	9
36	Jonafrog99	9
38	AlexxO_o	8
38	GlitchyPlate810	8
40	500am	7
40	Solar_Power	7
40	lordpipe	7
40	Smoke____	7
44	prizm_	6
45	AuroraSkies	5
46	hm947	4
46	Alteriity	4
46	Di_infiri	4
46	KujikawaRisechi	4
50	jessewegottacook	3
50	Dan_Scha	3
50	YungMaki	3
53	FazeObama69	2
53	Merv__	2
53	RebelAndroid	2
53	SyntheticSurgeon	2
53	MrKrabOnCoke	2
53	LeauVox4921	2
53	Marbz_	2
53	Mattesco	2
53	NameGenerat0r	2
62	pintsizedrogue	1
62	binman420	1
62	EveryonesUncle	1
62	SpacesickPrism	1
62	AltnumberF4	1
