rank	username	minecraft:dropped/minecraft:purple_shulker_box
1	Hyp3rion_	560
2	thewindmillman	128
3	Kowcio_	22
4	Jackattack53	13
5	pintsizedrogue	9
5	Smashic	9
5	ROY4LE	9
8	Crowman1	6
9	fade_emerge78823	4
9	luseis	4
9	emreknugrlu	4
12	Huwulling	3
12	Lez_	3
12	noam464	3
12	hanaryheatwave	3
12	Cyntrical	3
12	YungMaki	3
12	ZoomieZoomie	3
19	T045RTY	2
19	Mahoose	2
19	joethahobo	2
19	beeperbeeper5	2
19	k1ngGilgamesh	2
19	EdGalbraith	2
19	Tyrannosplart	2
19	QuesoCrusaderIII	2
19	Segotep999	2
19	Enderxz3	2
19	jnp_gaming	2
19	TechnoNinja64	2
31	Jovaphobic	1
31	MatsTheGoat	1
31	Apollo_993	1
31	soundad	1
31	Jindong	1
31	ImpavidArcher	1
31	livingdaydreams	1
31	Malorn_Aetherius	1
31	kekhon	1
31	500am	1
31	mwrty	1
31	gcaisawesome	1
31	Ecplosive	1
31	Marbz_	1
31	Zythose	1
31	_Shadow66_	1
31	ScootOfBoot	1
31	KowcioJr	1
31	AlexxO_o	1
31	brycepants	1
31	Akoot_	1
31	Lord_Jord	1
31	EveryonesUncle	1
31	HellsSponge	1
31	NameGenerat0r	1
31	BartekB19	1
31	Blaiku	1
31	Groundler	1
31	lordpipe	1
31	deleteduser3c11b	1
31	miramyu	1
31	SammiWolfGirl	1
31	VentiHilton	1
31	TheBananaKat	1
31	CattSoup	1
31	skitzxo	1
31	Teebone15	1
31	Yamdalorian	1
