rank	username	minecraft:dropped/minecraft:cherry_boat
1	cutelilreno	14
2	Spaghettatron	10
3	royal_2	4
4	MattieHD	3
4	bl1ss0	3
6	EMC_	2
6	Lazy_geniusig	2
6	frizzbees	2
6	TheSecondLord	2
6	craaaash	2
6	Mr_Froxy	2
6	Vol_Rod33	2
6	Synthoum	2
6	CacheOut	2
6	Kowcio_	2
6	_3Stump_	2
17	Niklas20114552	1
17	Gelberkodo	1
17	CoffeeNoir	1
17	Archsam	1
17	beeperbeeper5	1
17	gabukun_	1
17	Jackattack53	1
17	WET_WET_WET	1
17	Hyp3rion_	1
17	Krowuss	1
17	Buuck_	1
17	Thunder_bird4337	1
17	pixelviolin	1
17	MrShojo	1
17	AlessTheGamer_69	1
17	EcksD	1
17	00000000-0000-0000-0009-01fe065167f0	1
