rank	username	minecraft:dropped/minecraft:cracked_deepslate_tiles
1	mihimihimihi	44
2	beeperbeeper5	2
2	Mattesco	2
2	Wowful	2
2	Miko_Fullbuster	2
6	AlexxO_o	1
6	SvenskaHugo	1
6	Kowcio_	1
