rank	username	minecraft:dropped/minecraft:blast_furnace
1	Akoot_	27
2	Kowcio_	17
2	GlitchyPlate810	17
4	Blaiku	12
5	TechnoNinja64	11
6	Onennon	8
7	Merv__	5
8	HellsSponge	4
8	WYFYoyo	4
10	youhjjhhhjj	3
10	Snowflowe	3
10	PigDab	3
13	Drlzyy	2
13	Blackberry1310	2
13	ROY4LE	2
13	noam464	2
13	trixterrx	2
13	xo_Marren_xo	2
13	Freak_Genius	2
13	stavgod	2
13	Soplight	2
22	pintsizedrogue	1
22	elicobnoah	1
22	diamondgolem35	1
22	Mahoose	1
22	joethahobo	1
22	301851	1
22	Kkanot	1
22	set67	1
22	TylerDupree	1
22	gabriels543	1
22	burbankbuilder28	1
22	Skylord_Luke	1
22	jewbacaman	1
22	MousePlays	1
22	wezzzi	1
22	masskedman	1
22	Xclax101	1
22	Racengan	1
22	Zetsey	1
22	SSytex_X	1
22	VentiHilton	1
22	TheOuterCore	1
22	Ezekson	1
