rank	username	minecraft:dropped/minecraft:dark_prismarine_stairs
1	PigDab	603
2	eitanzaki	88
3	Yamdalorian	64
4	Spacewardharpy7	63
5	Manaateee	56
6	gren_ben	51
7	12Magner05	47
8	Merv__	29
9	Eraxa	25
10	Frozil20	19
11	Blaiku	14
12	DinoDoctor_	10
13	KarlKaek	9
14	skitzxo	7
15	CliffEmAll	5
16	rarrq	4
16	Fuad_R	4
16	lordpipe	4
16	Kowcio_	4
20	Ezekson	3
21	PazinGaming	2
21	beeperbeeper5	2
21	Jackattack53	2
24	shineh10	1
24	ImpavidArcher	1
24	Mahoose	1
24	TheSecondLord	1
24	noam464	1
24	luseis	1
24	MrShojo	1
24	PlasticOtari	1
