rank	username	minecraft:dropped/minecraft:black_stained_glass_pane
1	beeperbeeper5	402
2	Hyp3rion_	187
3	Blaiku	131
4	noam464	110
5	_Karmaa	78
6	AssFullaCum	69
7	Akoot_	65
8	titanlax	64
9	MightyWertu	61
10	kekhon	56
11	EcksD	55
12	Jackattack53	46
12	ConnorDanky_	46
14	SaucyDark	42
15	jnp_gaming	41
16	mihimihimihi	36
17	MakeHistory157	34
18	Kubeusz2010	32
19	eitanzaki	26
20	Voxin2K	24
21	Mahoose	23
21	jushykins	23
23	iSammael	16
24	Hiryu27	14
24	FreakGenius	14
26	cichy096	12
27	YungMaki	8
28	burbankbuilder28	7
29	ShedJr_	4
29	TinMaster	4
29	thescout7	4
29	luseis	4
33	RebelAndroid	3
33	Syropatathe	3
35	q_wq	2
35	Incinere	2
35	lillips	2
35	Fuad_R	2
35	lcvezra	2
40	KarlKaek	1
40	Mattesco	1
40	Ezekson	1
