rank	username	minecraft:dropped/minecraft:orange_stained_glass
1	Hyp3rion_	124608
2	YungMaki	256
3	Yamdalorian	181
4	EcksD	168
5	lordpipe	167
6	Manaateee	128
7	luseis	67
8	emreknugrlu	64
9	Kowcio_	58
10	EMC_	50
11	joethahobo	48
12	ConnorDanky_	38
13	thewindmillman	24
14	beeperbeeper5	17
15	Mattesco	10
16	Lez_	8
16	NomadicRobin_	8
16	StarCookiees_	8
19	DarlaMeow	7
19	Segotep999	7
19	Dogcorn69420	7
19	Nicserso	7
23	Blackberry1310	6
23	ScootOfBoot	6
25	_Virify_	5
26	RebelAndroid	4
26	Saucepeh	4
26	FreakGenius	4
26	KingMatthew506	4
30	Spacewardharpy7	3
30	TechnoNinja64	3
32	TheSecondLord	2
32	Werbe	2
32	Blaiku	2
32	SkateboardR6	2
36	pintsizedrogue	1
36	PazinGaming	1
36	SteveCraftBlocks	1
36	noam464	1
36	Inbefour	1
36	MightyWertu	1
36	PlasticOtari	1
