rank	username	minecraft:dropped/minecraft:pink_wool
1	noam464	72924
2	thewindmillman	10887
3	HellsSponge	9110
4	eitanzaki	4357
5	EcksD	4058
6	EcksDofficial	1754
7	jnp_gaming	384
8	beeperbeeper5	334
9	Werbe	322
9	AssEatrAndLicker	322
11	Racengan	320
12	Blaiku	317
13	oxfordschool	197
14	lordpipe	194
15	ImpavidArcher	193
16	Blu3beast	192
17	BlancoFlaco	128
17	mariominejedi	128
19	chipklip	92
20	kinas45y5	87
21	PigDab	86
22	Frozil12	67
23	MeanTugger	64
23	NomadicRobin_	64
23	Shogunite	64
23	Legendosh	64
27	Di_infiri	60
28	SammiWolfGirl	49
29	Afinnity	45
30	djancak	36
31	Blackberry1310	25
32	Rumpletaezer	24
32	Nycteus_	24
34	Spacewardharpy7	18
35	Earlesstrain4	15
36	ratglock	14
37	Wooptey	13
38	TechnoNinja64	12
39	ShedJr_	10
40	monky_irl	8
41	censorsheep	7
41	Nagasaki_Riku	7
43	Mercadies	6
43	_Dean_123	6
45	hollowww	4
45	gaziter10	4
45	ese_wn_po	4
48	kekhon	3
48	Tjhodskins19	3
48	NameGenerat0r	3
51	SteveCraftBlocks	2
51	Fullut	2
51	Motsaro	2
51	mimbo1211	2
51	LilyNova	2
51	Katthaj	2
51	proxivitoid	2
51	YungMaki	2
59	SugarMyNuggets	1
59	SyK7	1
59	Flores991	1
59	RebelAndroid	1
59	joethahobo	1
59	CliffEmAll	1
59	TheSecondLord	1
59	500am	1
59	Onennon	1
59	yulgur1	1
59	El_Jalapeno	1
59	Ze_BaronKrigler	1
59	KingMatthew506	1
59	Ezekson	1
59	Quotary	1
59	mountaingirl311	1
