rank	username	minecraft:dropped/minecraft:light_blue_concrete
1	MattieHD	1920
2	Blaiku	374
3	thewindmillman	327
4	noam464	195
5	YungMaki	192
6	lordpipe	187
7	Manaateee	130
8	ImpavidArcher	128
9	Di_infiri	83
10	Enderxz3	82
11	ConnorDanky_	80
12	beeperbeeper5	74
13	TheSecondLord	68
14	eitanzaki	55
15	MakeHistory157	52
16	TechnoNinja64	50
17	MightyWertu	42
18	Uzbeki_John	28
19	luseis	16
20	Groovy_MoonBird	11
21	Lez_	8
22	pintsizedrogue	2
22	Merv__	2
22	Frozil20	2
22	Blackberry1310	2
22	kekhon	2
22	xzvu	2
22	Winston_Ingram	2
29	youhjjhhhjj	1
29	Marbz_	1
29	Onennon	1
29	Segotep999	1
29	EcksD	1
