rank	username	minecraft:dropped/minecraft:birch_leaves
1	thewindmillman	7732
2	Iamthejo	1152
3	HesDemonPants	715
4	Mahoose	670
5	Soplight	485
6	CoffeeNoir	468
7	EveryonesUncle	463
8	EcksD	427
9	YungMaki	364
10	Spacewardharpy7	351
11	noam464	249
12	ImpavidArcher	243
13	Ezekson	234
14	beeperbeeper5	185
15	ShedJr_	173
16	Akoot_	168
17	lordpipe	165
18	CarryLine	164
19	HellsSponge	151
20	Skylord_Luke	149
21	Werbe	132
22	LeonelSalamanca	131
23	SlayerCrypto	128
24	Blaiku	126
25	Merv__	125
26	PortlyPete69	100
27	AlexxO_o	98
28	FroggoTheDoggo	97
29	eitanzaki	92
30	The_Quack_Dealer	88
31	SSytex_X	83
32	Racengan	68
33	Lez_	64
33	Fullut	64
33	lillips	64
36	LeEricc	59
36	AdmiralSmoke	59
38	Kowcio_	58
39	500am	56
40	H0UNDFRMH3LL	54
40	the_russell1611	54
42	Nycteus_	53
43	tuckerdoodle	50
43	Arceus1975	50
43	JETrotter	50
43	FreakGenius	50
47	jacxhadow	45
47	platinumzero	45
49	SullyhS	44
50	Bumpy419	42
51	itburb	38
52	jnp_gaming	36
53	The11thDoctor	35
53	Legendosh	35
55	Di_infiri	34
56	Frozil20	32
57	kekhon	27
57	hanaryheatwave	27
59	xzvu	26
59	lcvezra	26
61	Killercatty78	25
61	MrKrabOnCoke	25
63	r123moore	24
63	MightyWertu	24
65	thescout7	23
66	TheSeismicDuck	22
67	M_Patata	20
67	zToasty69z	20
67	MasterNueve	20
70	Tommhh	19
70	Blackberry1310	19
70	PigDab	19
73	soundad	18
73	burbankbuilder28	18
73	h2p_emrld	18
76	Jackattack53	17
76	DemTechAlpha	17
78	IAmTheWalrus910	16
78	ConnorDanky_	16
78	DkansK	16
81	Tyrannosplart	15
81	Blu3beast	15
81	Luigipunch989	15
84	ganyuganyu	13
84	StinkyDiplomat	13
86	Kakolbus	12
87	Cowison	11
87	NinjaKnifeKill	11
87	TheSecondLord	11
87	Syropatathe	11
87	pixelviolin	11
87	PlasticOtari	11
93	SyntheticSurgeon	10
93	Leyna3	10
95	PazinGaming	8
95	Da_Boss_Rani	8
95	Elastiq	8
95	UCP_TheKingK	8
99	audiocracked	7
99	luseis	7
99	wobn	7
99	VentiHilton	7
103	NatalieTW	5
103	joethahobo	5
103	InfernalMound	5
103	Mattesco	5
103	Warlord324	5
103	CornOnTheCobalt	5
103	Kura2218	5
103	non089	5
103	Earlesstrain4	5
112	Secret_Canary	4
112	Pelbo	4
112	Marbz_	4
112	Zythose	4
112	Silvo614	4
112	The_Cruncy	4
112	SaintJosie	4
112	NoChumpChange	4
112	master9067	4
112	Nicserso	4
112	Enderxz3	4
123	ZaneABrain	3
123	ITDV	3
123	12Magner05	3
123	ProfessorBee	3
123	killmeiamtraitor	3
123	Wowful	3
123	TheEnderMan548	3
123	PlzNoBM	3
123	BreadBacon	3
123	xolstoi	3
133	dimondking777	2
133	Flores991	2
133	heckface	2
133	_Dean_123	2
133	set67	2
133	benediktine1	2
133	Kouridragon	2
133	groofles	2
133	Deathkob	2
133	Xclax101	2
133	Cocoamallows	2
133	2blox_	2
145	Groovy_MoonBird	1
145	EMC_	1
145	Sleek_Storm_721	1
145	SaucyDark	1
145	Alteriity	1
145	TheMaster972	1
145	SquadMonster	1
145	Scathra	1
145	lorpus	1
145	Awyrlas	1
145	LeauVox4921	1
145	mimbo1211	1
145	SuperPooch06	1
145	Rumpletaezer	1
145	Rebytre	1
145	F_Uhre	1
145	epiksk8erduck	1
145	MonitorLizards	1
145	TheTrueClipse	1
145	NomadicRobin_	1
145	Inbefour	1
145	DTwenty	1
145	Dakar_	1
145	Fuad_R	1
145	ProfessorDiaper	1
145	mihimihimihi	1
145	stavgod	1
145	voiding_	1
145	djancak	1
145	Sheldor097	1
145	Hermanni__	1
145	skrongus	1
