rank	username	minecraft:dropped/minecraft:dead_tube_coral_block
1	eitanzaki	70
2	EcksD	64
3	Legendosh	59
4	Nagasaki_Riku	48
5	pintsizedrogue	34
6	Ezekson	22
7	Di_infiri	20
8	Xclax101	17
9	MattieHD	16
10	kekhon	13
11	lillips	12
12	Akoot_	8
13	1442	6
13	lcvezra	6
15	6king6colt6	5
16	Bumpy419	4
16	TheSeismicDuck	4
16	Blu3beast	4
19	ImpavidArcher	3
19	Ssor69	3
19	M_Patata	3
19	monky_irl	3
19	MasterNueve	3
19	h2p_emrld	3
25	tramizu	2
25	ApophisNova	2
25	RobotMinion101	2
25	Onennon	2
25	jewbacaman	2
25	GlitchyPlate810	2
25	sebastiensaborio	2
25	MyNamaSheff	2
33	diamondgolem35	1
33	SaucyDark	1
33	Seyaboy	1
33	rarrq	1
33	sandmire	1
33	eiC_	1
33	kars0n	1
33	drumine	1
33	Freak_Genius	1
33	Typadopoulos	1
33	DarkLawD	1
33	Yahrto	1
