rank	username	minecraft:dropped/minecraft:loom
1	Merv__	11
2	Inchef	9
3	beeperbeeper5	4
3	Luigipunch989	4
5	PortlyPete69	3
6	Groovy_MoonBird	2
6	Myszoaz	2
6	kekhon	2
6	fade_emerge78823	2
6	noam464	2
6	EveryonesUncle	2
6	Freak_Genius	2
6	fluddd	2
6	lordpipe	2
6	CheifJumbo	2
16	MunkaKris	1
16	TildaAndrea	1
16	Tolhart	1
16	eitanzaki	1
16	Comma__	1
16	bloodbiter	1
16	_Dean_123	1
16	egglapras	1
16	Jackattack53	1
16	WET_WET_WET	1
16	Fuad_R	1
16	Blu3beast	1
16	ItsDeltaMC	1
16	Soplight	1
16	SSytex_X	1
16	jcool7	1
16	Kubeusz2010	1
16	oxfordschool	1
16	TechnoNinja64	1
