rank	username	minecraft:dropped/minecraft:oak_boat
1	thescout7	120
2	eitanzaki	110
3	noam464	109
4	beeperbeeper5	97
5	EcksD	76
6	FreakGenius	65
7	Hyp3rion_	49
8	Blaiku	47
9	lordpipe	44
10	Kowcio_	38
11	HellsSponge	36
12	rarrq	28
12	Rebytre	28
14	TheSecondLord	27
15	Blackberry1310	23
16	Akoot_	22
17	Frozil20	20
17	Werbe	20
17	Smoke____	20
20	EMC_	19
20	Racengan	19
22	Onennon	18
22	Soplight	18
22	PlasticOtari	18
25	thewindmillman	17
25	Eraxa	17
27	Mahoose	16
27	kekhon	16
27	YungMaki	16
30	joethahobo	15
30	jnp_gaming	15
32	Di_infiri	13
32	Jackattack53	13
32	Chromary	13
32	NameGenerat0r	13
32	gusstationwerker	13
37	Fullut	12
37	Lord_Zacler	12
37	Spacewardharpy7	12
37	Hermanni__	12
41	I_Am_Mushkin	11
41	ThiccExotic	11
41	Jokerman369	11
41	Smashic	11
41	binman420	11
41	luseis	11
47	Lepthymo	10
47	pintsizedrogue	10
47	T045RTY	10
47	SteveCraftBlocks	10
47	TechnoNinja64	10
52	Groovy_MoonBird	9
52	trixterrx	9
52	PigDab	9
52	NomadicRobin_	9
52	SkateboardR6	9
52	CalebDHawk	9
52	bladeefan2009	9
59	KarlKaek	8
59	Alteriity	8
59	SammiWolfGirl	8
59	_TCARREIRA_	8
59	Njensen7	8
59	ConnorDanky_	8
59	Nicserso	8
66	NatalieTW	7
66	KingFaenor	7
66	Incinere	7
66	_Nuf	7
66	Zythose	7
66	masskedman	7
66	Quaintster	7
66	__tomato	7
66	Luigipunch989	7
66	Sral7	7
66	Zoeyfortnite	7
77	PhantomsGhost_	6
77	ImpavidArcher	6
77	Lez_	6
77	ougstur	6
77	Fuad_R	6
77	_Karmaa	6
77	Mythic1130	6
77	PortlyPete69	6
77	Ezekson	6
86	bigstankyy	5
86	MattieHD	5
86	_Dean_123	5
86	mwrty	5
86	EnderKill98	5
86	Xalithia	5
86	Arceus1975	5
86	Hiryu27	5
86	Skylord_Luke	5
86	iElijah	5
86	EveryonesUncle	5
86	DarkS0L	5
86	Blu3beast	5
86	SvenskaHugo	5
86	lcvezra	5
86	Dogcorn69420	5
86	LeeMcGee30	5
86	Steelynan	5
86	Rainaldus	5
86	alderban107	5
106	q_wq	4
106	Esme_1	4
106	Frxnkz	4
106	m_be9	4
106	benediktine1	4
106	arcanemagic	4
106	_Boipl_	4
106	kars0n	4
106	AlexxO_o	4
106	jewbacaman	4
106	sammidk	4
106	FishyBoy3811	4
106	Leyna3	4
106	ADEXTV	4
106	wezzzi	4
106	Dabatha	4
106	Wowful	4
106	TheSeismicDuck	4
106	lillips	4
106	Tyrannosplart	4
106	claivin	4
106	the__Reaper4999	4
106	MakeHistory157	4
106	Optiprimus	4
106	jcool7	4
106	MilleGrug	4
106	Kubeusz2010	4
133	Mr_Byzantine	3
133	fanofbands101	3
133	squigglybones	3
133	RebelAndroid	3
133	Natty	3
133	ZaneABrain	3
133	SpaceGrenadier	3
133	H72l9w	3
133	Ardennes	3
133	Kkanot	3
133	set67	3
133	emrekn	3
133	eviltunix	3
133	ROY4LE	3
133	xxPipperDipperxx	3
133	hcb238	3
133	ColdPath	3
133	M_Patata	3
133	legal_tax_evader	3
133	WET_WET_WET	3
133	Azmodan_246	3
133	The11thDoctor	3
133	DeeDeeThonk	3
133	HyperCave	3
133	TheShyPig	3
133	NomRay	3
133	Dan_Scha	3
133	Luminad3	3
133	DarlaMeow	3
133	fluddd	3
133	Groundler	3
133	Toriankel	3
133	Warlord324	3
133	radioactv_jelly	3
133	iSammael	3
133	sp00ky_ghost977	3
133	NebulousBadger	3
133	Kura2218	3
133	Decaying_Lotus	3
133	GlitchyPlate810	3
133	Sheldor097	3
133	fffMike	3
133	Skippeh	3
133	Iamthejo	3
133	xolstoi	3
133	00000000-0000-0000-0009-01fbab7ea71d	3
179	Jovaphobic	2
179	Vryistal	2
179	Mowelan	2
179	ItsColin11	2
179	SmashingPump	2
179	timocapa	2
179	teslawolf38	2
179	6king6colt6	2
179	diamondgolem35	2
179	chrolus	2
