rank	username	minecraft:dropped/minecraft:black_glazed_terracotta
1	Hyp3rion_	282
2	Crowman1	163
3	lillips	103
4	joethahobo	76
5	ZoomieZoomie	62
6	noam464	58
7	EcksD	36
8	Merv__	27
9	beeperbeeper5	22
10	Di_infiri	14
11	lordpipe	12
12	Krowuss	11
13	AdmiralSmoke	8
14	Soplight	6
15	Inchef	4
16	gloryoftherain	3
17	Frozil20	2
17	Huwulling	2
17	jushykins	2
17	Blaiku	2
17	laron58	2
17	Enderxz3	2
17	jnp_gaming	2
17	aubergined	2
25	Mr_Byzantine	1
25	ImpavidArcher	1
25	eitanzaki	1
25	Blackberry1310	1
25	bbquakes	1
25	ROY4LE	1
25	olliebollie48	1
25	Eraxa	1
25	SammiWolfGirl	1
25	CalebDHawk	1
25	TechnoNinja64	1
