rank	username	minecraft:dropped/minecraft:flow_armor_trim_smithing_template
1	TheKingK_	7
2	00000000-0000-0000-0009-01fe065167f0	2
3	MyMawgDonaldsGon	1
3	thewindmillman	1
3	cutelilreno	1
3	Spaghettatron	1
