rank	username	minecraft:dropped/minecraft:chiseled_quartz_block
1	ApophisNova	105
1	MyNamaSheff	105
3	lordpipe	76
4	Akoot_	62
5	Moofyman	59
6	EcksD	35
7	kinas45y5	32
8	NameGenerat0r	24
9	kekhon	21
10	Xclax101	15
11	Hyp3rion_	8
12	noam464	7
12	Racengan	7
14	eitanzaki	6
14	NatrixxddxYT	6
16	beeperbeeper5	4
16	MovingFish7	4
16	Soplight	4
16	The_SlideV5	4
20	Spacewardharpy7	3
20	jcool7	3
22	Skylord_Luke	2
22	Freak_Genius	2
22	Frozil12	2
22	Groundler	2
26	pintsizedrogue	1
26	RobotMinion101	1
26	Shogunite	1
26	GlitchyPlate810	1
