rank	username	minecraft:dropped/minecraft:leather_boots
1	noam464	446
2	oscminus	363
3	Michpo	209
4	Racengan	136
5	pretty_pink_reno	121
6	kekhon	106
6	WyngGoy	106
8	thewindmillman	79
9	Bumpy419	78
10	Bandito_Roamer	68
11	pintsizedrogue	59
12	StinkyDiplomat	58
13	beeperbeeper5	46
14	Akoot_	44
15	joethahobo	43
16	Mewar	40
17	RebelAndroid	39
17	TheSeismicDuck	39
19	Kyrum2169	38
20	Smashic	37
20	Werbe	37
22	lordpipe	36
23	Blackberry1310	33
24	Kowcio_	32
25	YungMaki	31
26	Apollo_993	30
27	Fullut	27
27	HellsSponge	27
29	Lez_	26
29	himak1	26
29	Buuck_	26
29	SvenskaHugo	26
33	EcksD	25
34	selectrix	24
35	Spacewardharpy7	23
35	PlasticOtari	23
37	LordSpeed37	22
37	Ezekson	22
39	Yamdalorian	21
40	Mahoose	20
40	Kkanot	20
40	gcaisawesome	20
40	Nyxiom_	20
40	fluddd	20
45	_Virify_	19
45	Megarboh	19
45	excelsionprime	19
45	Shortest_Man	19
45	ediballbearings	19
50	aec9	18
50	censorsheep	18
50	Segotep999	18
53	Donutt	17
53	Manaateee	17
53	El_Jalapeno	17
53	_AAZAR	17
57	FreakGenius	16
58	eitanzaki	15
58	TheSecondLord	15
58	Di_infiri	15
58	Snowflowe	15
58	Eraxa	15
63	EMC_	14
63	Jackattack53	14
63	Skippeh	14
66	ImpavidArcher	13
66	Kakolbus	13
66	Hyp3rion_	13
66	Onennon	13
66	EveryonesUncle	13
71	eiC_	12
71	Zythose	12
71	PigDab	12
71	Maenara	12
71	MAns_44	12
71	QueenShuvi	12
71	monky_irl	12
71	geekbird	12
71	pixelviolin	12
71	__tomato	12
81	Frozil20	11
81	Ecplosive	11
81	Xclax101	11
81	Blaiku	11
81	non089	11
86	Noah_Bez	10
86	RebytreGT	10
86	NomadicRobin_	10
89	Arceus1975	9
89	masskedman	9
89	luseis	9
89	Fildyr	9
89	Soplight	9
89	skitzxo	9
95	rarrq	8
95	set67	8
95	SellyZ	8
95	djancak	8
95	Steelynan	8
95	TheBananaKat	8
101	TrNrGhost	7
101	q_wq	7
101	Comma__	7
101	Z3braYTIL	7
101	Winklepicker279	7
101	Solar_Power	7
101	EdGalbraith	7
101	Hisiste	7
