rank	username	minecraft:dropped/minecraft:warped_roots
1	thewindmillman	32354
2	noam464	9181
3	eitanzaki	8102
4	Smoke____	4115
5	Blaiku	3839
6	Hyp3rion_	1203
7	FishisTTV	675
8	ZA07	651
9	Jackattack53	530
10	PigDab	407
11	beeperbeeper5	314
12	HellsSponge	195
13	12Magner05	178
14	Arceus1975	159
15	potato_phone	158
16	Xalithia	84
17	Spacewardharpy7	74
18	VentiHilton	64
19	T045RTY	56
20	Decaying_Lotus	51
21	mwrty	32
22	Kowcio_	27
23	monky_irl	25
24	joethahobo	23
25	Winklepicker279	18
26	Blackberry1310	17
27	lizardfightclub	16
28	Mythic1130	15
29	SvenskaHugo	14
30	Jimb0nat0r	13
31	FreakGenius	12
32	diamondgolem35	11
32	SteveCraftBlocks	11
32	MilleGrug	11
35	shrimp_flips	10
36	gcaisawesome	9
36	Hermanni__	9
38	trexgb	8
39	TheSecondLord	7
39	Mookle96	7
39	lillips	7
39	Luigipunch989	7
39	ConnorDanky_	7
44	Kakolbus	6
44	TheEnderMan548	6
44	YungMaki	6
47	BlancoFlaco	5
47	Afinnity	5
47	EveryonesUncle	5
50	Crowman1	4
51	Travasaur	3
51	DinoDoctor_	3
51	PhantomBionic	3
51	rarrq	3
51	kekhon	3
51	Nycteus_	3
51	Sheldor097	3
51	2bolx_	3
59	_Virify_	2
59	AmericanUK	2
59	Fullut	2
59	trixterrx	2
59	Silvo614	2
59	binman420	2
59	MyNameIsDakar	2
59	Erased_Identity	2
59	Skippeh	2
59	00000000-0000-0000-0009-01ff0c3e5e4f	2
69	shineh10	1
69	livingdaydreams	1
69	Historical_Sand	1
69	TheFlfthHorseman	1
69	MinttyFressh	1
69	paranoid_plant	1
69	Marbz_	1
69	Di_infiri	1
69	Chromary	1
69	Zythose	1
69	0Vyp_	1
69	Moofyman	1
69	AlexxO_o	1
69	PuFY	1
69	groofles	1
69	AuroraSkies	1
69	luseis	1
69	DanTheBuilderino	1
69	MAns_44	1
69	mihimihimihi	1
69	lordpipe	1
69	iSammael	1
69	Eraxa	1
69	RealGroot	1
69	_Yonk_	1
69	GlitchyPlate810	1
69	EngagedGrub41	1
69	MissCeleste7	1
69	EcksD	1
69	cichy096	1
69	Nicserso	1
69	Enderxz3	1
69	Biites	1
